Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17689-9644,SG,James,,Harden,53.66976858,43,12300,HOU@MIA,HOU,MIA,,
17689-14528,SF,Jimmy,,Butler,42.01749878,40,9500,DAL@CHI,CHI,DAL,,
17689-58462,C,Karl-Anthony,,Towns,41.99756157,41,9400,MIN@SA,MIN,SA,,
17689-9714,SG,DeMar,,DeRozan,40.60750122,40,9400,TOR@BKN,TOR,BKN,,
17689-9535,PG,Kyle,,Lowry,39.93999939,40,9000,TOR@BKN,TOR,BKN,,
17689-12363,C,Hassan,,Whiteside,39.575677,37,8900,HOU@MIA,MIA,HOU,,
17689-14513,SF,Kawhi,,Leonard,39.32105135,38,8800,MIN@SA,SA,MIN,,
17689-55062,PF,Nikola,,Jokic,30.20857282,35,8500,DEN@LAL,DEN,LAL,,
17689-9688,PF,LaMarcus,,Aldridge,30.93055556,36,7100,MIN@SA,SA,MIN,,
17689-9585,SG,Dwyane,,Wade,31.52432498,37,7000,DAL@CHI,CHI,DAL,,
17689-9621,C,Brook,,Lopez,32.11111111,36,7000,TOR@BKN,BKN,TOR,,
17689-15946,SF,Harrison,,Barnes,30.32000122,40,6800,DAL@CHI,DAL,CHI,,
17689-9673,PG,Goran,,Dragic,32.10000148,33,6700,HOU@MIA,MIA,HOU,,
17689-49116,SF,Andrew,,Wiggins,30.28536466,41,6500,MIN@SA,MIN,SA,,
17689-9570,C,Pau,,Gasol,27.63947497,38,6400,MIN@SA,SA,MIN,,
17689-18600,PG,Tyler,,Johnson,26.97368421,38,6400,HOU@MIA,MIA,HOU,,
17689-9722,PG,Deron,,Williams,26.22500038,32,6400,DAL@CHI,DAL,CHI,,
17689-12443,PG,Jeremy,,Lin,27.73333232,12,6300,TOR@BKN,BKN,TOR,O,Hamstring
17689-42669,PF,Julius,,Randle,29.35499878,40,6200,DEN@LAL,LAL,DEN,,
17689-40783,SG,Zach,,LaVine,28.8315783,38,6000,MIN@SA,MIN,SA,,
17689-14496,PG,Ricky,,Rubio,25.82777744,36,6000,MIN@SA,MIN,SA,,
17689-14503,C,Jonas,,Valanciunas,26.01052696,38,6000,TOR@BKN,TOR,BKN,,
17689-58312,PG,D'Angelo,,Russell,27.078125,32,6000,DEN@LAL,LAL,DEN,,
17689-9637,SF,Danilo,,Gallinari,26.67499966,36,5900,DEN@LAL,DEN,LAL,,
17689-9966,PF,James,,Johnson,23.32500034,36,5900,HOU@MIA,MIA,HOU,,
17689-9538,SF,Trevor,,Ariza,26.13023199,43,5800,HOU@MIA,HOU,MIA,,
17689-9556,SG,Eric,,Gordon,25.95609637,41,5800,HOU@MIA,HOU,MIA,,
17689-9636,SF,Wilson,,Chandler,27.95833333,36,5800,DEN@LAL,DEN,LAL,,
17689-9500,PF,Dirk,,Nowitzki,23.42666626,15,5700,DAL@CHI,DAL,CHI,,
17689-12350,PF,Trevor,,Booker,26.43243243,37,5500,TOR@BKN,BKN,TOR,,
17689-9799,SG,Wesley,,Matthews,23.85128236,39,5500,DAL@CHI,DAL,CHI,,
17689-55059,C,Clint,,Capela,25.42142814,28,5300,HOU@MIA,HOU,MIA,GTD,Leg
17689-12474,PG,Patrick,,Beverley,25.66896636,29,5300,HOU@MIA,HOU,MIA,,
17689-23776,C,Montrezl,,Harrell,17.85294118,34,5300,HOU@MIA,HOU,MIA,,
17689-16220,SG,Dion,,Waiters,22.99047561,21,5200,HOU@MIA,MIA,HOU,,
17689-9481,PF,Taj,,Gibson,23.96904791,42,5100,DAL@CHI,CHI,DAL,,
17689-16233,SG,Josh,,Richardson,20.75357056,28,5100,HOU@MIA,MIA,HOU,O,Foot
17689-15771,PF,Gorgui,,Dieng,25.39512076,41,5100,MIN@SA,MIN,SA,,
17689-9772,PF,Ryan,,Anderson,22.25813897,43,5000,HOU@MIA,HOU,MIA,,
17689-17333,SG,Will,,Barton,23.72592502,27,4800,DEN@LAL,DEN,LAL,,
17689-24544,SG,Gary,,Harris,21.06666734,18,4800,DEN@LAL,DEN,LAL,O,Ankle
17689-9495,PG,J.J.,,Barea,23.06666667,15,4700,DAL@CHI,DAL,CHI,,
17689-16201,PG,Michael,,Carter-Williams,17.77333374,15,4700,DAL@CHI,CHI,DAL,,
17689-9702,PG,Tony,,Parker,20.39032179,31,4700,MIN@SA,SA,MIN,,
17689-9787,SF,DeMarre,,Carroll,18.52857143,35,4600,TOR@BKN,TOR,BKN,,
17689-9662,SG,Lou,,Williams,25.15777724,45,4600,DEN@LAL,LAL,DEN,,
17689-63124,PG,Emmanuel,,Mudiay,22.56315854,38,4500,DEN@LAL,DEN,LAL,,
17689-9873,C,Robin,,Lopez,21.51904733,42,4400,DAL@CHI,CHI,DAL,,
17689-34615,C,Willie,,Reed,13.0625,32,4300,HOU@MIA,MIA,HOU,GTD,Chest
17689-14521,PF,Kenneth,,Faried,22.61714216,35,4300,DEN@LAL,DEN,LAL,,
17689-9479,SF,Luol,,Deng,19.1534878,43,4200,DEN@LAL,LAL,DEN,,
17689-20640,PG,Jordan,,Clarkson,21.31333279,45,4200,DEN@LAL,LAL,DEN,GTD,Ankle
17689-14522,PF,Nikola,,Mirotic,19.49444411,36,4200,DAL@CHI,CHI,DAL,GTD,Illness
17689-14530,SF,Bojan,,Bogdanovic,19.85500031,40,4200,TOR@BKN,BKN,TOR,,
17689-9455,PG,Rajon,,Rondo,25.27272727,33,4100,DAL@CHI,CHI,DAL,,
17689-20992,PF,Larry,,Nance Jr.,18.40357099,28,4000,DEN@LAL,LAL,DEN,O,Knee
17689-66048,SF,Brandon,,Ingram,16.34666612,45,4000,DEN@LAL,LAL,DEN,,
17689-55057,C,Jusuf,,Nurkic,19.71428571,35,4000,DEN@LAL,DEN,LAL,,
17689-9549,SG,Brandon,,Rush,7.243750095,16,4000,MIN@SA,MIN,SA,,
17689-18256,SF,Doug,,McDermott,16.21379352,29,4000,DAL@CHI,CHI,DAL,,
17689-15520,SG,Sean,,Kilpatrick,22.54750061,40,4000,TOR@BKN,BKN,TOR,,
17689-42148,SF,Rondae,,Hollis-Jefferson,18.04999966,36,4000,TOR@BKN,BKN,TOR,,
17689-15788,C,Justin,,Hamilton,15.62285679,35,4000,TOR@BKN,BKN,TOR,,
17689-15542,PG,Spencer,,Dinwiddie,12.91764742,17,4000,TOR@BKN,BKN,TOR,,
17689-16301,C,Dewayne,,Dedmon,14.75588271,34,3900,MIN@SA,SA,MIN,,
17689-14529,PG,Cory,,Joseph,17.19230769,39,3900,TOR@BKN,TOR,BKN,,
17689-15583,SG,Seth,,Curry,18.21111043,36,3900,DAL@CHI,DAL,CHI,,
17689-40200,C,Lucas,,Nogueira,16.78181781,33,3800,TOR@BKN,TOR,BKN,,
17689-12340,PF,Patrick,,Patterson,17.72424316,33,3800,TOR@BKN,TOR,BKN,GTD,Knee
17689-9737,SG,Nick,,Young,18.83684178,38,3700,DEN@LAL,LAL,DEN,,
17689-16405,SF,Terrence,,Ross,16.66923014,39,3700,TOR@BKN,TOR,BKN,,
17689-9512,C,Nene,,Hilario,14.57368389,38,3700,HOU@MIA,HOU,MIA,,
17689-12349,SF,Luke,,Babbitt,8.206250191,32,3700,HOU@MIA,MIA,HOU,,
