Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17722-12421,C,Tiago,,Splitter,11.97777812,36,3500,CHI@ATL,ATL,CHI,O,Hamstring
17722-17894,PF,Mike,,Muscala,15.57250061,40,3500,CHI@ATL,ATL,CHI,O,Ankle
17722-12443,PG,Jeremy,,Lin,27.73333232,12,6300,BKN@NO,BKN,NO,O,Hamstring
17722-9601,C,Andrew,,Bogut,18.29545455,22,3700,UTA@DAL,DAL,UTA,O,Hamstring
17722-9629,PF,David,,West,11.7452378,42,3500,GS@HOU,GS,HOU,O,Thumb
17722-9514,SG,Rodney,,Stuckey,14.62941159,17,3600,IND@LAL,IND,LAL,O,Hamstring
17722-20992,PF,Larry,,Nance Jr.,18.40357099,28,4000,IND@LAL,LAL,IND,O,Knee
17722-9935,C,Brandan,,Wright,14.46666718,12,3500,SAC@MEM,MEM,SAC,O,Ankle
17722-16261,SG,Khris,,Middleton,30.52784748,79,6900,MIL@ORL,MIL,ORL,O,Hamstring
17722-9968,SG,Jodie,,Meeks,15.42916616,24,3700,MIL@ORL,ORL,MIL,O,Thumb
17722-66115,SF,Ben,,Simmons,0,0,5000,POR@PHI,PHI,POR,O,Foot
17722-16331,C,Festus,,Ezeli,16.91304348,46,3500,POR@PHI,POR,PHI,O,Knee
17722-9577,SF,Rudy,,Gay,32.75,30,7200,SAC@MEM,SAC,MEM,O,Achilles
17722-9960,PF,Omri,,Casspi,12.77272727,22,3600,SAC@MEM,SAC,MEM,O,Calf
17722-40830,PG,Delon,,Wright,7.403703478,27,3500,TOR@CHA,TOR,CHA,O,Shoulder
17722-15904,SG,Rodney,,Hood,21.66216216,37,4500,UTA@DAL,UTA,DAL,O,Knee
17722-15559,SG,Jeremy,,Lamb,17.67142814,28,4900,TOR@CHA,CHA,TOR,GTD,Foot
17722-9481,PF,Taj,,Gibson,24.01666696,42,5100,CHI@ATL,CHI,ATL,GTD,Ankle
17722-9772,PF,Ryan,,Anderson,22.23023313,43,5000,GS@HOU,HOU,GS,GTD,Illness
17722-9479,SF,Luol,,Deng,19.1534878,43,4200,IND@LAL,LAL,IND,GTD,Wrist
17722-23096,SG,Evan,,Fournier,25.08108108,37,5200,MIL@ORL,ORL,MIL,GTD,Foot
17722-12365,PF,Ed,,Davis,12.02249985,40,3500,POR@PHI,POR,PHI,GTD,Ankle
17722-9964,PG,Ty,,Lawson,18.63589712,39,4200,SAC@MEM,SAC,MEM,GTD,Ankle
17722-9787,SF,DeMarre,,Carroll,18.27027027,37,4400,TOR@CHA,TOR,CHA,GTD,Neck
17722-12340,PF,Patrick,,Patterson,17.72424316,33,3800,TOR@CHA,TOR,CHA,GTD,Knee
17722-40200,C,Lucas,,Nogueira,16.44705918,34,3700,TOR@CHA,TOR,CHA,GTD,Concussion
17722-9729,PF,Paul,,Millsap,36.21282176,39,8200,CHI@ATL,ATL,CHI,,
17722-9660,C,Dwight,,Howard,33.24864733,37,7000,CHI@ATL,ATL,CHI,,
17722-40201,PG,Dennis,,Schroder,28.87857201,42,6300,CHI@ATL,ATL,CHI,,
17722-15846,SG,Tim,,Hardaway Jr.,17.46499939,40,4600,CHI@ATL,ATL,CHI,,
17722-19781,SF,Kent,,Bazemore,20.1875,40,4500,CHI@ATL,ATL,CHI,,
17722-9501,PF,Kris,,Humphries,10.10909109,33,3700,CHI@ATL,ATL,CHI,,
