X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,date
matchuplink,501502,7:00p,PortlandCharlotteOptions,649-1FS-SE,218 -110-6 -110,50.7%49.3%,217½ -107-5½ +100,217½ -110-5½ -110,217 -110-5½ -105,217½ -115-5 -105,217½ -105-5½ -105,217 -110-5½ -105,218 -110-5½ -110,217 -110-5½ -105,217½ -110-5½ -110,217½ -115-5 -105,2017-01-18
matchuplink,503504,7:00p,MemphisWashingtonOptions,642CSN-DC,205½ -110-4 -110,49.9%50.1%,208 -108-2 -106,208 -110-2 -110,208 -110-2 -110,208 -110-2 -112,208½ -105-2 -105,208 -110-2 -110,208 -110-2½ -110,208 -110-2 -110,208 -110-2 -110,208 -110-2 -112,2017-01-18
matchuplink,505506,7:00p,TorontoPhiladelphiaOptions,CSN-PH,-6 -110212 -110,55.7%44.3%,-6 -101216 -113,-6 -110215½ -110,-6 -110215 -110,-5½ -110215½ -110,-6 -105215½ -105,-6 -110215 -110,-6 -110215 -115,-6 -110215 -110,-6 -110215½ -110,-5½ -110215½ -110,2017-01-18
matchuplink,507508,7:30p,New YorkBostonOptions,630CSN-NE,220 -110-8 -110,43.4%56.6%,218½ -108-9 +102,218½ -110-8½ -110,218 -110-8½ -110,218½ -110-9 -105,219 -105-8½ -105,218 -110-8½ -110,219 -110-9 -110,218 -110-8½ -110,218½ -110-8½ -110,218½ -110-9 -105,2017-01-18
matchuplink,509510,8:00p,OrlandoNew OrleansOptions,FS-NO676-4,209½ -110-6 -105,45.1%54.9%,211½ -107-5½ -109,210½ -110-5½ -110,212 -110-6 -105,211½ -115-5½ -115,211½ -105-6 -105,212 -110-6 -105,211 -115-5½ -115,212 -110-6 -105,210½ -110-6 -110,211½ -115-5½ -115,2017-01-18
matchuplink,511512,8:00p,AtlantaDetroitOptions,ESPN206,PK -110204 -110,56.7%43.3%,-2½ -101199 -106,-2½ -110199½ -110,-2½ -112198½ -110,-2½ -115199½ -115,-3 -105199½ -105,-2½ -112198½ -110,-3 -110201 -115,-2½ -112198½ -110,-2½ -110199½ -110,-2½ -115199½ -115,2017-01-18
matchuplink,513514,8:00p,MilwaukeeHoustonOptions,ESPNROOT SPORTS,229 -110-8½ -110,51.8%48.2%,226 -109-6½ +102,226 -110-6½ -110,225½ -110-6½ -105,226 -110-6 -115,227 -105-6½ -105,225½ -110-6½ -105,227 -110-7 -105,225½ -110-6½ -105,226½ -110-6½ -110,226 -110-6 -115,2017-01-18
matchuplink,515516,10:30p,IndianaSacramentoOptions,698CSN-CA,-1 -110217 -110,44.0%56.0%,212½ -110-2½ -110,213 -110-2½ -110,214 -110-2 -115,213 -115-2½ -115,214 -105-2½ -105,214 -110-2½ -115,214 -115-3 -105,214 -110-2 -115,213½ -110-2½ -110,213 -115-2½ -115,2017-01-18
matchuplink,517518,10:30p,Oklahoma CityGolden StateOptions,ESPN206,226 -110-12½ -110,42.5%57.5%,230½ -110-15 -102,230½ -110-15 -110,231 -110-14½ -115,231 -113-15 -110,231 -105-15 -105,231 -110-14½ -115,232 -115-15 -115,231 -110-14½ -115,230½ -110-15 -110,231 -113-15 -110,2017-01-18
matchuplink,701702,7:30p,TorontoBrooklynOptions,YES631,-11 -110228 -110,54.6%45.4%,-8 -110224 -114,-8 -110223½ -110,-8 -110223 -110,-8 -110224½ -110,-8½ -105224 -105,-8 -110223 -110,-8½ -110225 -110,-8 -110223 -110,-8 -110225 -110,-8 -110224½ -110,2017-01-17
