"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-9642","PG","Russell","","Westbrook","57.0720952943314","43","12300","OKC@GS","OKC","GS","","","",""
"17699-9644","SG","James","","Harden","53.98181707208807","44","11800","MIL@HOU","HOU","MIL","","","",""
"17699-15755","PF","Anthony","","Davis","51.776924328926285","39","11200","ORL@NO","NO","ORL","GTD","Hip","",""
"17699-12362","C","DeMarcus","","Cousins","48.723075671073715","39","10700","IND@SAC","SAC","IND","","","",""
"17699-40199","SG","Giannis","","Antetokounmpo","47.02307754907853","39","10600","MIL@HOU","MIL","HOU","","","",""
"17699-9646","SF","Kevin","","Durant","46.51707197980183","41","10400","OKC@GS","GS","OKC","","","",""
"17699-14559","PG","Isaiah","","Thomas","40.2486473289696","37","9700","NY@BOS","BOS","NY","","","",""
"17699-9524","PG","Stephen","","Curry","39.61219452648628","41","9200","OKC@GS","GS","OKC","","","",""
"17699-12332","PG","John","","Wall","44.663156609786185","38","9100","MEM@WAS","WAS","MEM","","","",""
"17699-9714","SG","DeMar","","DeRozan","41.01219512195122","41","9000","TOR@PHI","TOR","PHI","","","",""
"17699-9535","PG","Kyle","","Lowry","39.939999389648435","40","8800","TOR@PHI","TOR","PHI","GTD","Rest","",""
"17699-20848","PG","Damian","","Lillard","40.33157830489309","38","8400","POR@CHA","POR","CHA","","","",""
"17699-49111","C","Joel","","Embiid","34.70357186453683","28","8400","TOR@PHI","PHI","TOR","GTD","Rest","",""
"17699-9729","PF","Paul","","Millsap","36.25526187294408","38","8300","ATL@DET","ATL","DET","","","",""
"17699-19067","SG","C.J.","","McCollum","34.6186040833939","43","8300","POR@CHA","POR","CHA","","","",""
"17699-9581","C","Marc","","Gasol","35.9390243902439","41","8100","MEM@WAS","MEM","WAS","","","",""
"17699-15860","PF","Draymond","","Green","37.08718011318109","39","8100","OKC@GS","GS","OKC","","","",""
"17699-15557","C","Andre","","Drummond","35.966666085379465","42","8000","ATL@DET","DET","ATL","GTD","Knee","",""
"17699-14507","PG","Kemba","","Walker","36.67000122070313","40","7900","POR@CHA","CHA","POR","","","",""
"17699-9446","PG","Jeff","","Teague","33.61499938964844","40","7800","IND@SAC","IND","SAC","","","",""
"17699-9575","PG","Mike","","Conley","33.95161290322581","31","7800","MEM@WAS","MEM","WAS","","","",""
"17699-9508","SF","Carmelo","","Anthony","34.8780487804878","41","7700","NY@BOS","NY","BOS","","","",""
"17699-12341","SF","Paul","","George","35.58787952769887","33","7500","IND@SAC","IND","SAC","","","",""
"17699-42550","PF","Jabari","","Parker","32.83999938964844","40","7500","MIL@HOU","MIL","HOU","","","",""
"17699-9809","SG","Nicolas","","Batum","33.3421052631579","38","7400","POR@CHA","CHA","POR","","","",""
"17699-63122","PF","Kristaps","","Porzingis","34.19722154405382","36","7400","NY@BOS","NY","BOS","GTD","Achilles","",""
"17699-9453","C","Al","","Horford","34.18386939264113","31","7300","NY@BOS","BOS","NY","","","",""
