Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17747-55062,PF,Nikola,,Jokic,31.50526187,38,10200,DEN@MIN,DEN,MIN,,
17747-58462,C,Karl-Anthony,,Towns,42.41860465,43,10000,DEN@MIN,MIN,DEN,,
17747-9714,SG,DeMar,,DeRozan,40.57441747,43,9000,PHO@TOR,TOR,PHO,,
17747-9535,PG,Kyle,,Lowry,39.76428513,42,8600,PHO@TOR,TOR,PHO,,
17747-12355,PG,Eric,,Bledsoe,36.51860579,43,8300,PHO@TOR,PHO,TOR,,
17747-49116,SF,Andrew,,Wiggins,30.1534878,43,7000,DEN@MIN,MIN,DEN,,
17747-40783,SG,Zach,,LaVine,28.48999939,40,6600,DEN@MIN,MIN,DEN,,
17747-14496,PG,Ricky,,Rubio,25.86842105,38,6500,DEN@MIN,MIN,DEN,O,Personal
17747-58460,SG,Devin,,Booker,28.0857137,42,6500,PHO@TOR,PHO,TOR,,
17747-9637,SF,Danilo,,Gallinari,26.73947304,38,5900,DEN@MIN,DEN,MIN,GTD,Ankle
17747-9473,C,Tyson,,Chandler,24.45882281,34,5700,PHO@TOR,PHO,TOR,,
17747-9636,SF,Wilson,,Chandler,27.99473813,38,5700,DEN@MIN,DEN,MIN,,
17747-17333,SG,Will,,Barton,24.78666585,30,5700,DEN@MIN,DEN,MIN,,
17747-14503,C,Jonas,,Valanciunas,25.84878168,41,5600,PHO@TOR,TOR,PHO,,
17747-15771,PF,Gorgui,,Dieng,25.62325695,43,5400,DEN@MIN,MIN,DEN,,
17747-14521,PF,Kenneth,,Faried,22.72894769,38,5400,DEN@MIN,DEN,MIN,,
17747-63124,PG,Emmanuel,,Mudiay,22.19268352,41,4900,DEN@MIN,DEN,MIN,O,Back
17747-24544,SG,Gary,,Harris,21.06666734,18,4800,DEN@MIN,DEN,MIN,GTD,Ankle
17747-23120,SF,T.J.,,Warren,22.17666626,30,4600,PHO@TOR,PHO,TOR,,
17747-23802,PG,Kris,,Dunn,11.33488358,43,4400,DEN@MIN,MIN,DEN,,
17747-14529,PG,Cory,,Joseph,17.44285656,42,4100,PHO@TOR,TOR,PHO,,
17747-9549,SG,Brandon,,Rush,7.243750095,16,4100,DEN@MIN,MIN,DEN,,
17747-9787,SF,DeMarre,,Carroll,17.97894769,38,4000,PHO@TOR,TOR,PHO,,
