first_last,team,fd_pos,fd_sal,prediction,proj_pts
Alan Williams,pho,C,3500,9.41476154327393,32.9516654014587
Jusuf Nurkic,den,C,3500,9.26439094543457,32.425368309021
Cole Aldrich,min,C,3500,8.39993476867676,29.3997716903687
Jakob Poeltl,tor,C,3500,7.18690633773804,25.1541721820831
Lucas Nogueira,tor,C,3700,6.71992540359497,24.8637239933014
Jonas Valanciunas,tor,C,5600,5.29057836532593,29.6272388458252
Tyson Chandler,pho,C,5700,4.98466634750366,28.4125981807709
Karl-Anthony Towns,min,C,10000,4.27679920196533,42.7679920196533
Alex Len,pho,PF,3500,7.6831693649292,26.8910927772522
Nemanja Bjelica,min,PF,3500,7.60882616043091,26.6308915615082
Jordan Hill,min,PF,3500,7.506422996521,26.2724804878235
Adreian Payne,min,PF,3500,7.506422996521,26.2724804878235
Marquese Chriss,pho,PF,3600,7.11754512786865,25.6231624603271
Dragan Bender,pho,PF,3500,7.05531787872314,24.693612575531
Juan Hernangomez,den,PF,3600,7.02201175689697,25.2792423248291
Darrell Arthur,den,PF,3600,7.02201175689697,25.2792423248291
Pascal Siakam,tor,PF,3500,7.01852941513062,24.5648529529572
Jared Dudley,pho,PF,3500,6.87555456161499,24.0644409656525
Jared Sullinger,tor,PF,3800,6.27100706100464,23.8298268318176
Kenneth Faried,den,PF,5400,5.92168712615967,31.9771104812622
Patrick Patterson,tor,PF,3800,5.87465906143188,22.3237044334412
Nikola Jokic,den,PF,10200,5.54626989364624,56.5719529151917
Gorgui Dieng,min,PF,5400,4.89298868179321,26.4221388816833
John Lucas,min,PG,3500,7.506422996521,26.2724804878235
Tyus Jones,min,PG,3500,7.506422996521,26.2724804878235
Tyler Ulis,pho,PG,3500,7.37583923339844,25.8154373168945
Fred VanVleet,tor,PG,3500,7.18690633773804,25.1541721820831
Delon Wright,tor,PG,3500,7.18690633773804,25.1541721820831
Jamal Murray,den,PG,3600,7.14766025543213,25.7315769195557
Jameer Nelson,den,PG,3800,6.40237712860107,24.3290330886841
Cory Joseph,tor,PG,4100,6.197021484375,25.4077880859375
Kris Dunn,min,PG,4400,6.03451824188232,26.5518802642822
Emmanuel Mudiay,den,PG,4900,5.51621675491333,27.0294620990753
Ricky Rubio,min,PG,6500,4.58423709869385,29.79754114151
Eric Bledsoe,pho,PG,8300,4.54883480072021,37.7553288459778
Kyle Lowry,tor,PG,8600,4.12826442718506,35.5030740737915
Shabazz Muhammad,min,SF,3500,7.39855003356934,25.8949251174927
Derrick Jones Jr.,pho,SF,3500,7.37583923339844,25.8154373168945
Mike Miller,den,SF,3500,7.21940565109253,25.2679197788239
Bruno Caboclo,tor,SF,3500,7.18690633773804,25.1541721820831
Terrence Ross,tor,SF,3800,6.1678261756897,23.4377394676209
DeMarre Carroll,tor,SF,4000,6.16782140731812,24.6712856292725
T.J. Warren,pho,SF,4600,5.61211729049683,25.8157395362854
P.J. Tucker,pho,SF,4000,5.38747072219849,21.5498828887939
Wilson Chandler,den,SF,5700,5.24597406387329,29.9020521640778
Danilo Gallinari,den,SF,5900,4.44727468490601,26.2389206409454
Andrew Wiggins,min,SF,7000,4.27280521392822,29.9096364974976
Leandro Barbosa,pho,SG,3500,7.67148780822754,26.8502073287964
John Jenkins,pho,SG,3500,7.37583923339844,25.8154373168945
Norman Powell,tor,SG,3500,7.35720872879028,25.750230550766
Malik Beasley,den,SG,3500,7.21940565109253,25.2679197788239
Brandon Knight,pho,SG,3700,6.81682062149048,25.2222362995148
Brandon Rush,min,SG,4100,6.33326148986816,25.9663721084595
Gary Harris,den,SG,4800,5.64592885971069,27.1004585266113
Will Barton,den,SG,5700,4.960045337677,28.2722584247589
Devin Booker,pho,SG,6500,4.41216278076172,28.6790580749512
DeMar DeRozan,tor,SG,9000,4.14703464508057,37.3233118057251
Zach LaVine,min,SG,6600,4.00684356689453,26.4451675415039
