first_last,team,fd_pos,fd_sal,prediction,proj_pts
Karl-Anthony Towns,min,C,10000,5.05775451660156,50.5775451660156
Tyson Chandler,pho,C,5700,4.70290565490723,26.8065622329712
Jonas Valanciunas,tor,C,5600,4.67238664627075,26.1653652191162
Lucas Nogueira,tor,C,3700,3.31637239456177,12.2705778598785
Jusuf Nurkic,den,C,3500,2.46446514129639,8.62562799453735
Cole Aldrich,min,C,3500,1.74002122879028,6.09007430076599
Jakob Poeltl,tor,C,3500,0.245583236217499,0.859541326761246
Alan Williams,pho,C,3500,0.118338853120804,0.414185985922813
Nikola Jokic,den,PF,10200,5.55807828903198,56.6923985481262
Gorgui Dieng,min,PF,5400,5.19291687011719,28.0417510986328
Nemanja Bjelica,min,PF,3500,5.18624782562256,18.151867389679
Marquese Chriss,pho,PF,3600,4.76691675186157,17.1609003067017
Kenneth Faried,den,PF,5400,4.45489025115967,24.0564073562622
Patrick Patterson,tor,PF,3800,3.8678195476532,14.6977142810822
Jared Sullinger,tor,PF,3800,3.57311868667603,13.5778510093689
Darrell Arthur,den,PF,3600,2.4471583366394,8.80977001190186
Dragan Bender,pho,PF,3500,2.2690110206604,7.9415385723114
Alex Len,pho,PF,3500,2.06948351860046,7.24319231510162
Juan Hernangomez,den,PF,3600,1.53411483764648,5.52281341552734
Jordan Hill,min,PF,3500,0.111967891454697,0.391887620091438
Adreian Payne,min,PF,3500,0.111967891454697,0.391887620091438
Pascal Siakam,tor,PF,3500,0.0985705256462097,0.344996839761734
Jared Dudley,pho,PF,3500,-0.0755183100700378,-0.264314085245132
Jameer Nelson,den,PG,3800,6.71294498443604,25.5091909408569
Jamal Murray,den,PG,3600,5.36341524124146,19.3082948684692
Eric Bledsoe,pho,PG,8300,4.96293067932129,41.1923246383667
Tyus Jones,min,PG,3500,4.91367053985596,17.1978468894958
Kris Dunn,min,PG,4400,4.90330982208252,21.5745632171631
Kyle Lowry,tor,PG,8600,4.86582612991333,41.8461047172546
Cory Joseph,tor,PG,4100,4.2676420211792,17.4973322868347
Tyler Ulis,pho,PG,3500,1.17575001716614,4.11512506008148
Fred VanVleet,tor,PG,3500,0.0975860953330994,0.341551333665848
Delon Wright,tor,PG,3500,0.0975860953330994,0.341551333665848
John Lucas,min,PG,3500,0.0399924516677856,0.13997358083725
Ricky Rubio,min,PG,6500,-0.146685838699341,-0.953457951545715
Emmanuel Mudiay,den,PG,4900,-0.213914930820465,-1.04818316102028
T.J. Warren,pho,SF,4600,5.64825248718262,25.98196144104
DeMarre Carroll,tor,SF,4000,5.14684104919434,20.5873641967773
Andrew Wiggins,min,SF,7000,5.01249837875366,35.0874886512756
Wilson Chandler,den,SF,5700,5.00369691848755,28.521072435379
P.J. Tucker,pho,SF,4000,4.81949472427368,19.2779788970947
Terrence Ross,tor,SF,3800,4.75684833526611,18.0760236740112
Shabazz Muhammad,min,SF,3500,4.59727764129639,16.0904717445374
Danilo Gallinari,den,SF,5900,4.58387899398804,27.0448860645294
Mike Miller,den,SF,3500,0.0823585987091064,0.288255095481873
Derrick Jones Jr.,pho,SF,3500,0.0394068360328674,0.137923926115036
Bruno Caboclo,tor,SF,3500,0.0338006019592285,0.1183021068573
Will Barton,den,SG,5700,5.45168685913086,31.0746150970459
Devin Booker,pho,SG,6500,5.0682578086853,32.9436757564545
Zach LaVine,min,SG,6600,4.77348375320435,31.5049927711487
DeMar DeRozan,tor,SG,9000,4.69639348983765,42.2675414085388
Brandon Knight,pho,SG,3700,2.42741799354553,8.98144657611847
Norman Powell,tor,SG,3500,2.39231085777283,8.3730880022049
Leandro Barbosa,pho,SG,3500,2.36145496368408,8.26509237289429
Malik Beasley,den,SG,3500,0.0823585987091064,0.288255095481873
Brandon Rush,min,SG,4100,0.0485408008098602,0.199017283320427
John Jenkins,pho,SG,3500,0.0394068360328674,0.137923926115036
Gary Harris,den,SG,4800,-0.0586957335472107,-0.281739521026611
