first_last,team,fd_pos,fd_sal,prediction,proj_pts
Karl-Anthony Towns,min,C,10000,4.60257291793823,46.0257291793823
Jonas Valanciunas,tor,C,5600,4.08990669250488,22.9034774780273
Tyson Chandler,pho,C,5700,3.94188785552979,22.4687607765198
Lucas Nogueira,tor,C,3700,3.64616394042969,13.4908065795898
Cole Aldrich,min,C,3500,1.85946536064148,6.50812876224518
Jusuf Nurkic,den,C,3500,1.77966153621674,6.22881537675858
Jakob Poeltl,tor,C,3500,1.06141006946564,3.71493524312973
Alan Williams,pho,C,3500,0.698142170906067,2.44349759817123
Nikola Jokic,den,PF,10200,5.04875469207764,51.4972978591919
Gorgui Dieng,min,PF,5400,4.40108013153076,23.7658327102661
Kenneth Faried,den,PF,5400,4.09942054748535,22.1368709564209
Jared Sullinger,tor,PF,3800,3.61729526519775,13.7457220077515
Marquese Chriss,pho,PF,3600,3.60673999786377,12.9842639923096
Patrick Patterson,tor,PF,3800,2.93517518043518,11.1536656856537
Juan Hernangomez,den,PF,3600,2.86919569969177,10.3291045188904
Pascal Siakam,tor,PF,3500,2.80479264259338,9.81677424907684
Nemanja Bjelica,min,PF,3500,2.71521854400635,9.50326490402222
Darrell Arthur,den,PF,3600,2.0564112663269,7.40308055877686
Dragan Bender,pho,PF,3500,1.80935120582581,6.33272922039032
Alex Len,pho,PF,3500,1.76290571689606,6.1701700091362
Jared Dudley,pho,PF,3500,1.63095712661743,5.70834994316101
Adreian Payne,min,PF,3500,1.26857614517212,4.44001650810242
Jordan Hill,min,PF,3500,0.714824557304382,2.50188595056534
Eric Bledsoe,pho,PG,8300,4.57685041427612,37.9878584384918
Cory Joseph,tor,PG,4100,4.52066659927368,18.5347330570221
Kyle Lowry,tor,PG,8600,4.26236820220947,36.6563665390015
Emmanuel Mudiay,den,PG,4900,4.12750244140625,20.2247619628906
Kris Dunn,min,PG,4400,4.08006715774536,17.9522954940796
Jamal Murray,den,PG,3600,4.04879570007324,14.5756645202637
Ricky Rubio,min,PG,6500,3.96883249282837,25.7974112033844
Jameer Nelson,den,PG,3800,3.52909302711487,13.4105535030365
Tyler Ulis,pho,PG,3500,1.80855572223663,6.32994502782822
Tyus Jones,min,PG,3500,1.26466941833496,4.42634296417236
Delon Wright,tor,PG,3500,0.921571731567383,3.22550106048584
Fred VanVleet,tor,PG,3500,0.90255343914032,3.15893703699112
John Lucas,min,PG,3500,0.663644134998322,2.32275447249413
Andrew Wiggins,min,SF,7000,4.98177242279053,34.8724069595337
Wilson Chandler,den,SF,5700,4.70233869552612,26.8033305644989
T.J. Warren,pho,SF,4600,4.41962289810181,20.3302653312683
P.J. Tucker,pho,SF,4000,4.18122577667236,16.7249031066895
DeMarre Carroll,tor,SF,4000,4.11852931976318,16.4741172790527
Danilo Gallinari,den,SF,5900,4.08992958068848,24.130584526062
Terrence Ross,tor,SF,3800,4.07240104675293,15.4751239776611
Shabazz Muhammad,min,SF,3500,2.65748119354248,9.30118417739868
Derrick Jones Jr.,pho,SF,3500,1.76290571689606,6.1701700091362
Bruno Caboclo,tor,SF,3500,0.692255020141602,2.42289257049561
Mike Miller,den,SF,3500,0.620822727680206,2.17287954688072
DeMar DeRozan,tor,SG,9000,4.26101589202881,38.3491430282593
Zach LaVine,min,SG,6600,4.11623477935791,27.1671495437622
Devin Booker,pho,SG,6500,4.1150803565979,26.7480223178864
Will Barton,den,SG,5700,3.40915155410767,19.4321638584137
Brandon Knight,pho,SG,3700,2.91409349441528,10.7821459293365
Gary Harris,den,SG,4800,2.49127101898193,11.9581008911133
Brandon Rush,min,SG,4100,2.34941792488098,9.63261349201202
Leandro Barbosa,pho,SG,3500,2.18384099006653,7.64344346523285
Norman Powell,tor,SG,3500,2.00199604034424,7.00698614120483
Malik Beasley,den,SG,3500,0.681800842285156,2.38630294799805
John Jenkins,pho,SG,3500,0.551565229892731,1.93047830462456
