FD pos,First  Last,Team,Opp,Team pts,Opp pts,FD Sal,FDP,multiplier,lineup_ID
1,Marcus Smart,bos,nor,117,108,4700,40,8.510638298,51
1,Kyle Lowry,tor,chi,118,123,8700,60.8,6.988505747,51
2,Langston Galloway,nor,bos,108,117,3500,26.3,7.514285714,51
2,Jeremy Lamb,cha,sas,85,102,3800,28.1,7.394736842,51
3,Jimmy Butler,chi,tor,123,118,9300,63.5,6.827956989,51
3,Wilson Chandler,den,okc,106,121,5600,37.4,6.678571429,51
4,Derrick Favors,uta,min,94,92,4500,33.7,7.488888889,51
4,Thaddeus Young,ind,nyk,123,109,5200,35.8,6.884615385,51
5,Dewayne Dedmon,sas,cha,102,85,3500,34.5,9.857142857,51
,,,,,,48800,360.1,7.379098361,
