GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,multiplier
4224,"Harden, James",James Harden,20170105,hou,okc,H,20170105-okc-hou,20,118,116,1,38.08333333,1,1,51.6,57.5,56,52.6,26pt 8rb 12as 1st 1bl 6to 2trey 6-16fg 12-14ft,1,0,12000,700,12100,-300,25000,0,61,1,2,12,12,2,4.3
4224,"Harden, James",James Harden,20161221,hou,pho,A,20161221-hou-pho,21,125,111,1,34.76666667,1,1,54,59.25,59.25,56.5,27pt 5rb 14as 1st 2to 5trey 8-18fg 6-8ft,1,0,12000,1000,12000,900,23250,0,58,0,2,12,12,2,4.5
4224,"Harden, James",James Harden,20170106,hou,orl,A,20170106-hou-orl,19,100,93,1,34.15,1,1,33.4,38.25,35.75,33.4,14pt 7rb 10as 1st 6to 5-15fg 4-6ft,1,0,11800,-200,12200,100,25000,0,61,0,2,12,12,2,2.830508475
4224,"Harden, James",James Harden,20161217,hou,min,A,20161217-hou-min,20,111,109,1,42.9,1,1,57.3,64.25,62.75,58.8,28pt 9rb 13as 1st 2bl 7to 3trey 8-20fg 9-11ft,1,0,11800,0,11600,-400,25000,0,57,0,2,12,12,2,4.855932203
4224,"Harden, James",James Harden,20161216,hou,nor,H,20161216-nor-hou,20,122,100,1,33.83333333,1,1,57.7,67.75,67.75,60.7,29pt 11rb 13as 4to 6trey 7-15fg 9-11ft,1,1,11800,100,12000,0,25000,0,57,0,2,12,12,2,4.889830508
4224,"Harden, James",James Harden,20161107,hou,was,A,20161107-hou-was,19,114,106,1,39.8,1,1,53.7,61,60.5,55.2,32pt 6rb 15as 8to 3trey 9-19fg 11-11ft,1,0,11800,100,11700,100,25000,800,55,0,2,12,12,1,4.550847458
4224,"Harden, James",James Harden,20170110,hou,cha,H,20170110-cha-hou,20,,,,,,,,,,,,,,11700,200,12100,400,23750,550,61,0,2,12,12,2,0
4224,"Harden, James",James Harden,20161214,hou,sac,H,20161214-sac-hou,20,132,98,1,29.86666667,1,1,46.2,55.25,55.5,47.7,15pt 11rb 14as 1st 5to 3trey 4-7fg 4-4ft,1,1,11700,300,12000,600,25000,0,57,0,2,12,12,2,3.948717949
4224,"Harden, James",James Harden,20161207,hou,lal,H,20161207-lal-hou,20,134,95,1,29.78333333,1,1,48.2,52.5,52.75,50.2,25pt 6rb 8as 4st 4to 4trey 8-14fg 5-6ft,0,0,11700,300,11400,-400,25000,2200,56,0,2,12,12,2,4.11965812
4224,"Harden, James",James Harden,20161125,hou,sac,A,20161125-hou-sac,22.5,117,104,1,39.98333333,1,1,45,54,52,46.5,23pt 10rb 10as 5to 3trey 6-18fg 8-8ft,1,1,11700,100,11700,0,25000,1650,56,0,2,12,12,2,3.846153846
4224,"Harden, James",James Harden,20161121,hou,det,A,20161121-hou-det,19.5,99,96,1,37.63333333,1,1,50.1,56,53.5,51.1,28pt 8rb 11as 1bl 6to 2trey 6-17fg 14-19ft,1,0,11700,0,11900,200,24900,1500,56,0,2,12,12,2,4.282051282
4224,"Harden, James",James Harden,20161119,hou,uta,H,20161119-uta-hou,17,111,102,1,34.91666667,1,1,53.6,57.25,55.75,55.6,31pt 3rb 10as 2bl 4trey 10-24fg 7-9ft,1,0,11700,0,11700,-700,23400,-1600,56,0,2,12,12,2,4.581196581
4224,"Harden, James",James Harden,20161117,hou,por,H,20161117-por-hou,20,126,109,1,31.61666667,1,1,63.4,72,70,64.9,26pt 12rb 14as 3st 4to 3trey 7-17fg 9-11ft,1,1,11700,200,12400,200,25000,0,56,1,2,12,12,1,5.418803419
4224,"Harden, James",James Harden,20161114,hou,phi,H,20161114-phi-hou,20,115,88,1,33.01666667,1,1,53.9,58.75,58.75,55.9,33pt 7rb 9as 1st 1bl 5to 4trey 12-20fg 5-5ft,0,0,11700,200,12000,700,25000,1150,55,0,2,12,12,1,4.606837607
4224,"Harden, James",James Harden,20161105,hou,atl,A,20161105-hou-atl,19.5,97,112,1,36.91666667,1,1,58.8,65.75,65.75,60.8,30pt 9rb 12as 3st 6to 4trey 10-19fg 6-7ft,1,0,11700,500,11600,400,24200,-650,55,1,2,12,12,1,5.025641026
4224,"Harden, James",James Harden,20161226,hou,pho,H,20161226-pho-hou,20,131,115,1,30.1,1,1,49,55.25,53.75,50,32pt 5rb 12as 7to 2trey 9-18fg 12-15ft,1,0,11600,200,11900,700,25000,550,59,1,2,12,12,2,4.224137931
