"","OPP","MIN","FG.","X3P.","FT.","REB","AST","BLK","STL","PF","TO","PTS","NAME","FMG","FMA","PM3","PA3","FTM","FTA","Team_Score","Opp_Score","Win_Lose","Home_Away","Date","WDay_CHECK"
"1","NO",0,0,0,0,0,0,0,0,0,0,0,"Avery Bradley",0,0,0,0,0,0,117,108,"W","Home",2017-01-07,"Sat"
"2","PHI",36,0.417,0.545,0,9,2,0,1,1,0,26,"Avery Bradley",10,24,6,11,0,0,110,106,"W","Home",2017-01-06,"Fri"
"3","UTAH",36,0.571,0.5,1,3,2,0,0,3,3,14,"Avery Bradley",4,7,2,4,4,4,115,104,"W","Home",2017-01-03,"Tue"
"4","MIA",0,0,0,0,0,0,0,0,0,0,0,"Avery Bradley",0,0,0,0,0,0,117,114,"W","Home",2016-12-30,"Fri"
"5"," CLE",30,0.476,0.3,0,3,0,0,4,3,4,23,"Avery Bradley",10,21,3,10,0,0,118,124,"L","Away",2016-12-29,"Thu"
"6","MEM",34,0.588,0.333,0.667,7,4,1,2,4,1,23,"Avery Bradley",10,17,1,3,2,3,113,103,"W","Home",2016-12-27,"Tue"
"7"," NY",32,0.417,1,0,6,2,0,3,2,1,11,"Avery Bradley",5,12,1,1,0,0,119,114,"W","Away",2016-12-25,"Sun"
"8","OKC",36,0.375,0.2,0.5,6,1,0,0,3,1,16,"Avery Bradley",6,16,1,5,3,6,112,117,"L","Home",2016-12-23,"Fri"
"9"," IND",31,0.462,0,1,5,0,0,3,4,2,15,"Avery Bradley",6,13,0,3,3,3,109,102,"W","Away",2016-12-22,"Thu"
"10"," MEM",38,0.625,0.333,0.833,3,3,1,1,5,1,16,"Avery Bradley",5,8,1,3,5,6,112,109,"W","Away",2016-12-20,"Tue"
"11"," MIA",34,0.563,0.5,0,5,0,0,1,3,2,20,"Avery Bradley",9,16,2,4,0,0,105,95,"W","Away",2016-12-18,"Sun"
"12","CHA",31,0.357,0.333,0,7,2,0,1,3,1,12,"Avery Bradley",5,14,2,6,0,0,96,88,"W","Home",2016-12-16,"Fri"
"13"," SA",35,0.625,0.5,1,10,6,0,3,2,3,25,"Avery Bradley",10,16,3,6,2,2,101,108,"L","Away",2016-12-14,"Wed"
"14"," OKC",35,0.444,0.5,0,4,2,0,3,2,4,18,"Avery Bradley",8,18,2,4,0,1,96,99,"L","Away",2016-12-11,"Sun"
"15","TOR",34,0.636,0.714,0,5,2,0,0,5,4,19,"Avery Bradley",7,11,5,7,0,0,94,101,"L","Home",2016-12-09,"Fri"
"16"," ORL",33,0.5,0.6,0.857,4,3,1,1,1,1,23,"Avery Bradley",7,14,3,5,6,7,117,87,"W","Away",2016-12-07,"Wed"
"17"," HOU",35,0.5,0,0,10,1,0,1,5,1,16,"Avery Bradley",8,16,0,2,0,0,106,107,"L","Away",2016-12-05,"Mon"
"18"," PHI",32,0.563,0.167,0.5,9,2,0,1,1,1,20,"Avery Bradley",9,16,1,6,1,2,107,106,"W","Away",2016-12-03,"Sat"
"19","SAC",35,0.462,0.5,1,9,2,0,2,1,1,15,"Avery Bradley",6,13,2,4,1,1,97,92,"W","Home",2016-12-02,"Fri"
"20","DET",36,0.333,0.5,1,6,0,0,1,1,1,14,"Avery Bradley",4,12,4,8,2,2,114,121,"L","Home",2016-11-30,"Wed"
"21"," MIA",39,0.5,1,0,6,2,0,0,4,0,18,"Avery Bradley",8,16,2,2,0,0,112,104,"W","Away",2016-11-28,"Mon"
"22","SA",38,0.533,0.75,0,8,3,0,0,2,1,19,"Avery Bradley",8,15,3,4,0,0,103,109,"L","Home",2016-11-25,"Fri"
"23"," BKN",34,0.455,0.143,0.5,7,1,0,5,3,2,22,"Avery Bradley",10,22,1,7,1,2,111,92,"W","Away",2016-11-23,"Wed"
