"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17911-9644","SG","James","","Harden","53.95000090422454","54","12700","ORL@HOU","HOU","ORL","","","",""
"17911-14507","PG","Kemba","","Walker","36.43199951171875","50","8900","BKN@CHA","CHA","BKN","","","",""
"17911-20848","PG","Damian","","Lillard","39.880851583277924","47","8600","POR@DAL","POR","DAL","GTD","Ankle","",""
"17911-19067","SG","C.J.","","McCollum","34.415384145883415","52","8200","POR@DAL","POR","DAL","","","",""
"17911-9621","C","Brook","","Lopez","32.3978271484375","46","7600","BKN@CHA","BKN","CHA","","","",""
"17911-9809","SG","Nicolas","","Batum","32.63333384195963","48","7400","BKN@CHA","CHA","BKN","","","",""
"17911-14514","C","Nikola","","Vucevic","32.0560009765625","50","6900","ORL@HOU","ORL","HOU","","","",""
"17911-15946","SF","Harrison","","Barnes","29.684314204197303","51","6900","POR@DAL","DAL","POR","","","",""
"17911-19138","PG","Elfrid","","Payton","27.13962310215212","53","6600","ORL@HOU","ORL","HOU","","","",""
"17911-12443","PG","Jeremy","","Lin","27.73333231608073","12","6400","BKN@CHA","BKN","CHA","O","Hamstring","",""
"17911-15590","C","Mason","","Plumlee","29.157691368689903","52","6400","POR@DAL","POR","DAL","","","",""
"17911-9722","PG","Deron","","Williams","26.170269940350508","37","6200","POR@DAL","DAL","POR","O","Toe","",""
"17911-23772","PG","Yogi","","Ferrell","16.146666463216146","15","6100","POR@DAL","DAL","POR","","","",""
"17911-15583","SG","Seth","","Curry","20.13404229346742","47","6100","POR@DAL","DAL","POR","","","",""
"17911-9957","PF","Serge","","Ibaka","28.092308631310097","52","5900","ORL@HOU","ORL","HOU","","","",""
"17911-9799","SG","Wesley","","Matthews","24.21875","48","5800","POR@DAL","DAL","POR","","","",""
"17911-23096","SG","Evan","","Fournier","25.26750030517578","40","5600","ORL@HOU","ORL","HOU","","","",""
"17911-12474","PG","Patrick","","Beverley","25.0875","40","5600","ORL@HOU","HOU","ORL","","","",""
"17911-9538","SF","Trevor","","Ariza","25.012962058738427","54","5600","ORL@HOU","HOU","ORL","","","",""
"17911-9556","SG","Eric","","Gordon","25.16","50","5500","ORL@HOU","HOU","ORL","","","",""
"17911-9500","PF","Dirk","","Nowitzki","23.4560009765625","25","5400","POR@DAL","DAL","POR","","","",""
"17911-9772","PF","Ryan","","Anderson","21.97647154564951","51","5400","ORL@HOU","HOU","ORL","","","",""
