Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17927-9488,SF,LeBron,,James,48.34893409,47,11500,CLE@IND,CLE,IND,,
17927-12362,C,DeMarcus,,Cousins,49.61372645,51,11200,BOS@SAC,SAC,BOS,O,Suspension
17927-15755,PF,Anthony,,Davis,50.7416687,48,11100,UTA@NO,NO,UTA,,
17927-58462,C,Karl-Anthony,,Towns,43.74615479,52,10800,TOR@MIN,MIN,TOR,,
17927-40199,SG,Giannis,,Antetokounmpo,46.29796118,49,10700,MIA@MIL,MIL,MIA,,
17927-12332,PG,John,,Wall,45.07958984,49,10500,WAS@BKN,WAS,BKN,,
17927-14559,PG,Isaiah,,Thomas,42.02978775,47,10400,BOS@SAC,BOS,SAC,,
17927-9646,SF,Kevin,,Durant,46.45882161,51,10300,CHI@GS,GS,CHI,,
17927-9524,PG,Stephen,,Curry,41.13600098,50,9900,CHI@GS,GS,CHI,,
17927-55062,PF,Nikola,,Jokic,32.88863581,44,9800,DEN@ATL,DEN,ATL,,
17927-14513,SF,Kawhi,,Leonard,40.32174019,46,9600,SA@PHI,SA,PHI,GTD,Quadriceps
17927-14528,SF,Jimmy,,Butler,41.59166718,48,9500,CHI@GS,CHI,GS,GTD,Heel
17927-9560,PF,Blake,,Griffin,39.84375,32,9400,LAC@NY,LAC,NY,,
17927-12363,C,Hassan,,Whiteside,38.19148936,47,9100,MIA@MIL,MIA,MIL,,
17927-9535,PG,Kyle,,Lowry,40.13461538,52,8900,TOR@MIN,TOR,MIN,,
17927-9714,SG,DeMar,,DeRozan,40.40652068,46,8900,TOR@MIN,TOR,MIN,,
17927-9623,PG,Chris,,Paul,40.73611111,36,8800,LAC@NY,LAC,NY,O,Thumb
17927-49111,C,Joel,,Embiid,35.69677341,31,8700,SA@PHI,PHI,SA,GTD,Knee
17927-12341,SF,Paul,,George,35.9159102,44,8600,CLE@IND,IND,CLE,,
17927-12355,PG,Eric,,Bledsoe,36.91538415,52,8600,PHO@MEM,PHO,MEM,,
17927-9581,C,Marc,,Gasol,37.12941129,51,8600,PHO@MEM,MEM,PHO,,
17927-14498,PG,Kyrie,,Irving,37.12954434,44,8400,CLE@IND,CLE,IND,,
17927-15557,C,Andre,,Drummond,36.38823625,51,8300,LAL@DET,DET,LAL,,
17927-9874,PF,Kevin,,Love,36.82093137,43,8200,CLE@IND,CLE,IND,,
17927-9663,PG,Jrue,,Holiday,32.96486355,37,8200,UTA@NO,NO,UTA,,
17927-9673,PG,Goran,,Dragic,33.76363581,44,8200,MIA@MIL,MIA,MIL,,
17927-12366,SF,Gordon,,Hayward,34.96222331,45,8000,UTA@NO,UTA,NO,,
17927-9508,SF,Carmelo,,Anthony,35.11730722,52,8000,LAC@NY,NY,LAC,,
17927-9585,SG,Dwyane,,Wade,32.64893617,47,8000,CHI@GS,CHI,GS,,
17927-40203,C,Rudy,,Gobert,34.22115385,52,7800,UTA@NO,UTA,NO,,
17927-15860,PF,Draymond,,Green,36.00208282,48,7800,CHI@GS,GS,CHI,,
17927-9729,PF,Paul,,Millsap,35.72040916,49,7700,DEN@ATL,ATL,DEN,,
17927-42550,PF,Jabari,,Parker,32.96800049,50,7600,MIA@MIL,MIL,MIA,,
17927-9453,C,Al,,Horford,34.34615385,39,7600,BOS@SAC,BOS,SAC,,
17927-9688,PF,LaMarcus,,Aldridge,31.46521792,46,7600,SA@PHI,SA,PHI,,
17927-9575,PG,Mike,,Conley,33.83333333,42,7500,PHO@MEM,MEM,PHO,,
17927-9446,PG,Jeff,,Teague,33.90196078,51,7400,CLE@IND,IND,CLE,,
17927-15595,SG,Bradley,,Beal,31.7957452,47,7400,WAS@BKN,WAS,BKN,,
17927-9561,C,DeAndre,,Jordan,33.25,52,7400,LAC@NY,LAC,NY,,
17927-49116,SF,Andrew,,Wiggins,30.80769231,52,7300,TOR@MIN,MIN,TOR,,
17927-9621,C,Brook,,Lopez,32.37872444,47,7200,WAS@BKN,BKN,WAS,,
17927-16220,SG,Dion,,Waiters,26.578125,32,7100,MIA@MIL,MIA,MIL,GTD,Ankle
17927-9660,C,Dwight,,Howard,33.29148832,47,7100,DEN@ATL,ATL,DEN,,
17927-58460,SG,Devin,,Booker,28.85294118,51,7000,PHO@MEM,PHO,MEM,,
17927-14511,PF,Markieff,,Morris,26.75199951,50,6900,WAS@BKN,WAS,BKN,,
17927-9637,SF,Danilo,,Gallinari,26.85000055,44,6900,DEN@ATL,DEN,ATL,O,Groin
17927-9661,C,Marcin,,Gortat,29.62353037,51,6900,WAS@BKN,WAS,BKN,,
17927-14496,PG,Ricky,,Rubio,27.04347826,46,6700,TOR@MIN,MIN,TOR,,
17927-14509,SG,Klay,,Thompson,29.83199951,50,6700,CHI@GS,GS,CHI,GTD,Personal
17927-63122,PF,Kristaps,,Porzingis,32.48444553,45,6600,LAC@NY,NY,LAC,,
17927-15628,SF,Otto,,Porter,28.23921473,51,6600,WAS@BKN,WAS,BKN,,
17927-12334,SG,Avery,,Bradley,30.79444377,36,6500,BOS@SAC,BOS,SAC,O,Achilles
17927-14521,PF,Kenneth,,Faried,23.17608643,46,6500,DEN@ATL,DEN,ATL,GTD,Personal
17927-58253,C,Myles,,Turner,30.71199951,50,6500,CLE@IND,IND,CLE,,
17927-15800,SF,Jae,,Crowder,25.74883607,43,6500,BOS@SAC,BOS,SAC,,
17927-12443,PG,Jeremy,,Lin,27.89999898,12,6400,WAS@BKN,BKN,WAS,O,Hamstring
17927-20491,SF,Robert,,Covington,24.34222276,45,6300,SA@PHI,PHI,SA,,
17927-9579,PF,Zach,,Randolph,26.81489466,47,6300,PHO@MEM,MEM,PHO,,
17927-9662,SG,Lou,,Williams,26.35370325,54,6300,LAL@DET,LAL,DET,,
17927-40201,PG,Dennis,,Schroder,28.82500047,52,6200,DEN@ATL,ATL,DEN,,
17927-9570,C,Pau,,Gasol,27.17436023,39,6200,SA@PHI,SA,PHI,O,Finger
17927-58312,PG,D'Angelo,,Russell,26.81842041,38,6200,LAL@DET,LAL,DET,,
17927-9703,PG,George,,Hill,29.22142901,28,6100,UTA@NO,UTA,NO,,
17927-63127,C,Guillermo,,Hernangomez,15.33555501,45,6000,LAC@NY,NY,LAC,,
17927-14503,C,Jonas,,Valanciunas,26.4529407,51,6000,TOR@MIN,TOR,MIN,,
17927-9475,PG,Derrick,,Rose,28.48181707,44,6000,LAC@NY,NY,LAC,,
17927-9636,SF,Wilson,,Chandler,27.4191479,47,6000,DEN@ATL,DEN,ATL,,
17927-14523,PG,Reggie,,Jackson,26.24838749,31,5900,LAL@DET,DET,LAL,,
17927-9966,PF,James,,Johnson,24.01489258,47,5900,MIA@MIL,MIA,MIL,,
17927-42669,PF,Julius,,Randle,27.96956469,46,5800,LAL@DET,LAL,DET,,
17927-14512,SF,Marcus,,Morris,23.69215782,51,5800,LAL@DET,DET,LAL,,
17927-15592,PG,Austin,,Rivers,19.16800049,50,5700,LAC@NY,LAC,NY,,
17927-9598,PF,Ersan,,Ilyasova,24.84509756,51,5700,SA@PHI,PHI,SA,,
17927-9666,PF,Thaddeus,,Young,24.4755112,49,5700,CLE@IND,IND,CLE,GTD,Wrist
17927-23670,PG,Marcus,,Smart,23.45416768,48,5600,BOS@SAC,BOS,SAC,,
17927-14501,C,Tristan,,Thompson,23.38800049,50,5600,CLE@IND,CLE,IND,,
17927-18600,PG,Tyler,,Johnson,26.42499889,44,5600,MIA@MIL,MIA,MIL,,
17927-9593,PG,Brandon,,Jennings,19.89811275,53,5600,LAC@NY,NY,LAC,,
17927-15846,SG,Tim,,Hardaway Jr.,19.04,50,5600,DEN@ATL,ATL,DEN,,
17927-9473,C,Tyson,,Chandler,24.51627793,43,5500,PHO@MEM,PHO,MEM,,
17927-15771,PF,Gorgui,,Dieng,25.35576923,52,5500,TOR@MIN,MIN,TOR,,
17927-17333,SG,Will,,Barton,24.17567568,37,5500,DEN@ATL,DEN,ATL,,
17927-12337,C,Greg,,Monroe,24.17550971,49,5400,MIA@MIL,MIL,MIA,,
17927-14518,PF,Tobias,,Harris,25.97884662,52,5400,LAL@DET,DET,LAL,,
17927-23825,PF,Nerlens,,Noel,18.6875,24,5400,SA@PHI,PHI,SA,,
17927-15757,PF,Terrence,,Jones,22.77,50,5400,UTA@NO,NO,UTA,,
17927-9624,PG,Darren,,Collison,22.11136419,44,5400,BOS@SAC,SAC,BOS,,
17927-18393,PG,T.J.,,McConnell,19.53199951,50,5400,SA@PHI,PHI,SA,,
17927-15636,SG,Kentavious,,Caldwell-Pope,24.55957551,47,5300,LAL@DET,DET,LAL,,
17927-16233,SG,Josh,,Richardson,20.75357056,28,5300,MIA@MIL,MIA,MIL,O,Ankle
17927-9638,PF,David,,Lee,17.06800049,50,5300,SA@PHI,SA,PHI,,
17927-12350,PF,Trevor,,Booker,25.4297862,47,5200,WAS@BKN,BKN,WAS,,
17927-9657,SF,Matt,,Barnes,17.95101991,49,5200,BOS@SAC,SAC,BOS,,
17927-24544,SG,Gary,,Harris,21.96666576,27,5200,DEN@ATL,DEN,ATL,,
17927-16359,PG,Malcolm,,Brogdon,19.84199951,50,5100,MIA@MIL,MIL,MIA,,
17927-12351,PF,Derrick,,Favors,20.35428641,35,5000,UTA@NO,UTA,NO,,
17927-66115,SF,Ben,,Simmons,0,0,5000,SA@PHI,PHI,SA,O,Foot
17927-9448,SG,Jamal,,Crawford,18.75192261,52,5000,LAC@NY,LAC,NY,,
17927-9481,PF,Taj,,Gibson,23.47,50,5000,CHI@GS,CHI,GS,,
17927-16201,PG,Michael,,Carter-Williams,19.33333333,21,5000,CHI@GS,CHI,GS,,
17927-9731,C,Kosta,,Koufos,15.03461515,52,4900,BOS@SAC,SAC,BOS,,
17927-63124,PG,Emmanuel,,Mudiay,21.98863636,44,4900,DEN@ATL,DEN,ATL,GTD,Back
17927-9873,C,Robin,,Lopez,21.74230722,52,4800,CHI@GS,CHI,GS,,
17927-14539,PF,Jon,,Leuer,21.38478287,46,4800,LAL@DET,DET,LAL,,
17927-9455,PG,Rajon,,Rondo,23.30000057,43,4800,CHI@GS,CHI,GS,,
17927-9465,PG,Raymond,,Felton,16.53199951,50,4800,LAC@NY,LAC,NY,,
17927-23120,SF,T.J.,,Warren,21.79230832,39,4700,PHO@MEM,PHO,MEM,,
17927-20640,PG,Jordan,,Clarkson,21.27592638,54,4700,LAL@DET,LAL,DET,,
17927-9964,PG,Ty,,Lawson,19.52800049,50,4700,BOS@SAC,SAC,BOS,,
17927-19781,SF,Kent,,Bazemore,20.79399902,50,4700,DEN@ATL,ATL,DEN,,
17927-23407,SF,P.J.,,Tucker,18.48076923,52,4700,PHO@MEM,PHO,MEM,,
17927-9655,SG,J.J.,,Redick,20.29591837,49,4700,LAC@NY,LAC,NY,,
17927-9700,C,Spencer,,Hawes,16.00571463,35,4700,MIA@MIL,MIL,MIA,,
17927-9920,PF,Anthony,,Tolliver,13.66000061,40,4600,BOS@SAC,SAC,BOS,,
17927-58083,C,Jahlil,,Okafor,20.24571359,35,4600,SA@PHI,PHI,SA,,
17927-23823,PF,Willie,,Cauley-Stein,10.08666653,45,4600,BOS@SAC,SAC,BOS,,
17927-15405,PF,JaMychal,,Green,21.13077017,52,4500,PHO@MEM,MEM,PHO,,
17927-16261,SG,Khris,,Middleton,30.52784748,79,4500,MIA@MIL,MIL,MIA,,
17927-9615,SG,Courtney,,Lee,18.54791641,48,4500,LAC@NY,NY,LAC,,
17927-9692,SG,Tyreke,,Evans,19.29565164,23,4500,UTA@NO,NO,UTA,GTD,Ankle
17927-9737,SG,Nick,,Young,19.44042579,47,4400,LAL@DET,LAL,DET,,
17927-9454,C,Zaza,,Pachulia,17.6181821,44,4400,CHI@GS,GS,CHI,O,Shoulder
17927-9458,SG,Tony,,Allen,20.9108701,46,4400,PHO@MEM,MEM,PHO,,
17927-23798,SG,Caris,,LeVert,14.50357165,28,4400,WAS@BKN,BKN,WAS,O,Knee
17927-9643,PG,Shaun,,Livingston,10.94255293,47,4400,CHI@GS,GS,CHI,,
17927-9652,PG,Jameer,,Nelson,17.79215734,51,4400,DEN@ATL,DEN,ATL,,
17927-9702,PG,Tony,,Parker,19.96052632,38,4400,SA@PHI,SA,PHI,,
17927-20992,PF,Larry,,Nance Jr.,18.59428537,35,4300,LAL@DET,LAL,DET,,
17927-15417,SF,Solomon,,Hill,15.14400024,50,4300,UTA@NO,NO,UTA,,
17927-55056,PF,Dario,,Saric,19.0921571,51,4300,SA@PHI,PHI,SA,,
17927-9664,SF,Andre,,Iguodala,17.70612195,49,4300,CHI@GS,GS,CHI,,
17927-9678,PF,Channing,,Frye,15.48837209,43,4300,CLE@IND,CLE,IND,,
17927-15904,SG,Rodney,,Hood,21.11999969,40,4200,UTA@NO,UTA,NO,O,Knee
17927-42148,SF,Rondae,,Hollis-Jefferson,18.19166692,48,4200,WAS@BKN,BKN,WAS,,
17927-14530,SF,Bojan,,Bogdanovic,20.09803922,51,4200,WAS@BKN,BKN,WAS,,
17927-58081,PG,Tyus,,Jones,8.819354642,31,4200,TOR@MIN,MIN,TOR,,
17927-20064,PG,Matthew,,Dellavedova,18.21333279,45,4100,MIA@MIL,MIL,MIA,,
17927-40200,C,Lucas,,Nogueira,17.47500055,44,4100,TOR@MIN,TOR,MIN,,
17927-11074,SG,Garrett,,Temple,16.49795968,49,4100,BOS@SAC,SAC,BOS,O,Hamstring
17927-17332,C,Tarik,,Black,14.46904791,42,4100,LAL@DET,LAL,DET,,
17927-66048,SF,Brandon,,Ingram,16.4518523,54,4000,LAL@DET,LAL,DET,,
17927-22541,C,Kelly,,Olynyk,17.88863581,44,4000,BOS@SAC,BOS,SAC,,
17927-66108,PG,Jamal,,Murray,14.76862769,51,4000,DEN@ATL,DEN,ATL,,
17927-67707,PF,Marquese,,Chriss,14.17499953,52,4000,PHO@MEM,PHO,MEM,,
17927-15520,SG,Sean,,Kilpatrick,21.51764754,51,4000,WAS@BKN,BKN,WAS,,
17927-23717,SF,Shabazz,,Muhammad,13.25833384,48,4000,TOR@MIN,MIN,TOR,,
17927-12511,PG,Ish,,Smith,19.49215638,51,4000,LAL@DET,DET,LAL,,
17927-9479,SF,Luol,,Deng,18.59800049,50,4000,LAL@DET,LAL,DET,,
17927-9671,PF,Marreese,,Speights,18.10384662,52,4000,LAC@NY,LAC,NY,,
17927-9725,SF,C.J.,,Miles,16.61777751,45,4000,CLE@IND,IND,CLE,,
17927-9758,SG,Danny,,Green,16.81395349,43,3900,SA@PHI,SA,PHI,,
17927-9787,SF,DeMarre,,Carroll,17.77916718,48,3900,TOR@MIN,TOR,MIN,,
17927-15952,C,John,,Henson,17.67727245,44,3900,MIA@MIL,MIL,MIA,,
17927-70827,C,Ivica,,Zubac,12.33157911,19,3900,LAL@DET,LAL,DET,,
17927-14515,SG,Iman,,Shumpert,15.37959134,49,3900,CLE@IND,CLE,IND,GTD,Ankle
17927-14549,PF,Lavoy,,Allen,7.73333349,39,3900,CLE@IND,IND,CLE,,
17927-14554,SG,E'Twaun,,Moore,17.35833359,48,3900,UTA@NO,NO,UTA,,
17927-9953,C,Ian,,Mahinmi,4.199999809,1,3900,WAS@BKN,WAS,BKN,GTD,Knee
17927-9549,SG,Brandon,,Rush,7.505555895,18,3900,TOR@MIN,MIN,TOR,,
17927-16293,SG,Norman,,Powell,12.30816277,49,3900,TOR@MIN,TOR,MIN,,
17927-17384,C,Kyle,,O'Quinn,16.84509756,51,3900,LAC@NY,NY,LAC,,
17927-9751,PG,Toney,,Douglas,11.9,10,3800,PHO@MEM,MEM,PHO,,
17927-17491,SF,James,,Ennis III,15.88000031,40,3800,PHO@MEM,MEM,PHO,,
17927-9447,SF,Joe,,Johnson,14.66666667,51,3800,UTA@NO,UTA,NO,,
17927-23802,PG,Kris,,Dunn,11.65918342,49,3800,TOR@MIN,MIN,TOR,GTD,Hand
17927-9483,C,Joakim,,Noah,20.54130488,46,3800,LAC@NY,NY,LAC,GTD,Hamstring
17927-9580,PF,Darrell,,Arthur,12.70769207,26,3800,DEN@ATL,DEN,ATL,,
17927-16301,C,Dewayne,,Dedmon,15.00222168,45,3800,SA@PHI,SA,PHI,,
17927-9647,SF,Thabo,,Sefolosha,18.57499972,44,3800,DEN@ATL,ATL,DEN,GTD,Groin
17927-9654,SF,Vince,,Carter,16.92765906,47,3800,PHO@MEM,MEM,PHO,,
17927-67026,SF,Jaylen,,Brown,10.12799988,50,3800,BOS@SAC,BOS,SAC,,
17927-9862,PF,Amir,,Johnson,15.89400024,50,3700,BOS@SAC,BOS,SAC,,
17927-23178,SF,Mirza,,Teletovic,11.29756127,41,3700,MIA@MIL,MIL,MIA,,
17927-9870,SG,Kyle,,Korver,16.28478208,46,3700,CLE@IND,CLE,IND,,
17927-15542,PG,Spencer,,Dinwiddie,14.1827582,29,3700,WAS@BKN,BKN,WAS,,
