date,time,team,opp,overunder,margin
2017-01-15,3:00p,nyk,tor,219.272727272727,-10.0454545454545
2017-01-15,3:00p,mil,atl,205.863636363636,-4
2017-01-15,2:00p,min,dal,197.909090909091,-1.14285714285714
2017-01-15,6:00p,hou,bos,234.090909090909,-13.7272727272727
2017-01-15,9:00p,chi,mem,192.909090909091,-8.36363636363636
2017-01-15,9:00p,okc,sac,213.545454545455,-1.65
2017-01-15,9:30p,det,lal,213.181818181818,-2
2017-01-14,3:30p,lal,lac,219.5,-11.3181818181818
2017-01-14,5:00p,nor,chi,206.045454545455,-3.36363636363636
2017-01-14,6:00p,sas,pho,213.181818181818,-12.2727272727273
2017-01-14,8:00p,phi,was,210.090909090909,-9.90909090909091
2017-01-14,9:00p,orl,uta,194.5,-11.3636363636364
2017-01-13,7:00p,cha,phi,208.227272727273,-5.04545454545455
2017-01-13,7:30p,bos,tor,224.409090909091,-15.2727272727273
2017-01-13,8:00p,bkn,atl,212.136363636364,-3.36363636363636
2017-01-13,8:00p,mia,mil,204.681818181818,-7.5
2017-01-13,8:00p,mem,hou,216.227272727273,-7.40909090909091
2017-01-13,8:00p,okc,min,208.272727272727,-2
2017-01-13,10:00p,orl,por,213.409090909091,-7.18181818181818
2017-01-13,10:30p,det,uta,191.045454545455,-10.9545454545455
2017-01-13,10:30p,cle,sac,214.409090909091,-6.45454545454545
2017-01-12,3:00p,ind,den,225.681818181818,-4.5
2017-01-12,7:30p,nor,bos,214.545454545455,-2.68181818181818
2017-01-12,8:00p,chi,nyk,207.363636363636,-3.18181818181818
2017-01-12,8:30p,lal,sas,212.227272727273,-14.1818181818182
2017-01-12,10:00p,dal,pho,207.590909090909,-2.31818181818182
2017-01-12,10:30p,det,gsw,218.454545454545,-13.4545454545455
2017-01-11,7:00p,nyk,phi,210.954545454545,-2.04545454545455
2017-01-11,8:00p,was,bkn,217.772727272727,-5.5
2017-01-11,8:00p,mem,okc,203.954545454545,-4.68181818181818
2017-01-11,8:00p,hou,min,218.5,-3.31818181818182
2017-01-11,10:30p,cle,por,222,-5.04545454545455
2017-01-11,10:30p,orl,lac,208.909090909091,-9.95454545454546
2017-01-10,7:00p,chi,was,203.909090909091,-11.5
2017-01-10,7:30p,bkn,tor,218.136363636364,-5.22727272727273
2017-01-10,7:30p,atl,bos,216.590909090909,-8.36363636363636
2017-01-10,8:00p,cha,hou,225.818181818182,-9
2017-01-10,8:30p,mil,sas,202.954545454545,-9.95454545454546
2017-01-10,9:00p,cle,uta,203.272727272727,-1.55
2017-01-10,10:30p,por,lal,228.363636363636,-2.31818181818182
2017-01-10,10:30p,mia,gsw,218.181818181818,-14.7272727272727
2017-01-10,10:30p,det,sac,206.181818181818,-2.81818181818182
2017-01-09,7:30p,nor,nyk,213.818181818182,-3.09090909090909
2017-01-09,8:00p,dal,min,196.772727272727,-4.59090909090909
2017-01-09,8:00p,okc,chi,209.181818181818,-1
2017-01-08,12:00p,phi,bos,215.727272727273,-1.3
2017-01-08,3:30p,mia,lac,206.954545454545,-9.27272727272727
2017-01-08,2:00p,was,mil,210.954545454545,-1.5
2017-01-08,6:00p,hou,tor,227.181818181818,-2.13636363636364
2017-01-08,8:00p,uta,mem,187.727272727273,-2.45454545454545
2017-01-08,8:30p,cle,pho,221.545454545455,-8.68181818181818
2017-01-08,9:00p,gsw,sac,225.681818181818,-11.5909090909091
2017-01-08,9:30p,orl,lal,216.909090909091,-2.45454545454545
2017-01-08,9:00p,det,por,213.636363636364,-3.5
2017-01-07,7:00p,nyk,ind,216.636363636364,-6.81818181818182
2017-01-07,7:30p,nor,bkn,211.909090909091,-6.22727272727273
2017-01-07,8:00p,uta,min,193.681818181818,-4.40909090909091
2017-01-07,8:00p,den,okc,220.590909090909,-8.31818181818182
2017-01-07,8:00p,tor,chi,206.954545454545,-1.5
2017-01-07,8:30p,atl,dal,197.409090909091,-1.18181818181818
2017-01-07,8:30p,cha,sas,208.409090909091,-10.8636363636364
2017-01-07,10:00p,det,por,214.227272727273,-3.54545454545455
2017-01-06,7:00p,min,was,211.363636363636,-4.81818181818182
2017-01-06,7:00p,hou,orl,223.909090909091,-5.13636363636364
2017-01-06,7:30p,cle,bos,221.181818181818,-13.1363636363636
2017-01-06,7:30p,phi,bkn,212.227272727273,-11.1818181818182
2017-01-06,8:00p,nyk,mil,213.545454545455,-5.22727272727273
2017-01-06,10:30p,mia,lal,213.227272727273,-2.59090909090909
2017-01-06,10:30p,mem,gsw,215.863636363636,-13.7272727272727
2017-01-06,10:30p,lac,sac,211.954545454545,-2.36363636363636
2017-01-05,7:00p,bos,ind,218.954545454545,-10.5454545454545
2017-01-05,7:30p,uta,tor,197.818181818182,-4.72727272727273
2017-01-05,7:30p,cha,det,207.363636363636,-4.95454545454545
2017-01-05,8:00p,okc,hou,227.136363636364,-7.90909090909091
2017-01-05,8:00p,atl,nor,208.681818181818,-2
2017-01-05,8:30p,pho,dal,206.045454545455,-5.45454545454545
2017-01-05,10:30p,lal,por,221.227272727273,-6.27272727272727
2017-01-05,9:00p,sas,den,213.227272727273,-6.95454545454545
2017-01-04,7:00p,atl,orl,207,-2.13636363636364
2017-01-04,7:00p,okc,cha,208.863636363636,-2.09090909090909
2017-01-04,7:30p,mil,nyk,212.863636363636,-3.35
2017-01-04,8:00p,chi,cle,204.318181818182,-4.45454545454545
2017-01-04,10:30p,mem,lac,196.954545454545,-1.5
2017-01-04,10:30p,por,gsw,223.227272727273,-16.1363636363636
2017-01-04,10:30p,mia,sac,204.5,-7.72727272727273
2017-01-03,7:00p,min,phi,205.863636363636,-4.81818181818182
2017-01-03,7:30p,uta,bkn,199.727272727273,-5.54545454545455
2017-01-03,7:30p,ind,det,204.818181818182,-4.90909090909091
2017-01-03,8:30p,tor,sas,206.818181818182,-6
2017-01-03,8:30p,was,dal,201.818181818182,-1.15
2017-01-03,9:00p,mia,pho,212.272727272727,-4.90909090909091
2017-01-03,9:00p,sac,den,214.636363636364,-3.85
2017-01-03,10:30p,mem,lal,206.818181818182,-4.86363636363636
2017-01-02,7:00p,nor,cle,217.636363636364,-9.13636363636364
2017-01-02,7:00p,okc,mil,213.5,-1.77272727272727
2017-01-02,7:30p,uta,bos,206.272727272727,-6.40909090909091
2017-01-02,7:30p,orl,nyk,210.454545454545,-3.86363636363636
2017-01-02,8:00p,was,hou,230.590909090909,-7.68181818181818
2017-01-02,8:00p,cha,chi,199.545454545455,-1.40909090909091
2017-01-02,10:30p,den,gsw,231.727272727273,-15.5454545454545
2017-01-02,10:30p,pho,lac,213.318181818182,-4.63636363636364
2017-01-01,6:00p,orl,ind,209.318181818182,-6
2017-01-01,6:00p,det,mia,198.181818181818,-6.22727272727273
2017-01-01,6:00p,sas,atl,199.818181818182,-4.86363636363636
2017-01-01,7:00p,por,min,208.272727272727,-6.22727272727273
2017-01-01,9:30p,tor,lal,217.863636363636,-7.86363636363636
2016-12-31,5:00p,mem,sac,195.545454545455,-2
2016-12-31,7:00p,cle,cha,210.136363636364,-1.3125
2016-12-31,7:00p,mil,chi,202.863636363636,-3.09090909090909
2016-12-31,8:00p,nyk,hou,224.272727272727,-12.2272727272727
2016-12-31,8:00p,pho,uta,207.181818181818,-11.4090909090909
2016-12-31,8:00p,lac,okc,209.772727272727,-8.86363636363636
2016-12-30,4:00p,chi,ind,202.272727272727,-4
2016-12-30,7:00p,bos,was,219.818181818182,-7.63636363636364
2016-12-30,7:30p,mia,bkn,203.272727272727,-9.5
