gid;name;espn_id;espn_name;team;gp;gs;min;fg;fga;3p;3pa;ft;fta;orb;drb;rb;ast;stl;blk;to;pf;dq;+/-;dd;td;fanduel pts;draftkings pts;draftday pts;yahoo pts;fanduel position;fanduel salary;draftkings position;draftkings salary;draftday position;draftday salary;yahoo position;yahoo salary;team pts;oppt pts;total pts
3860;Aldridge, LaMarcus;2983;Aldridge, LaMarcus;sas;1;1;35.1833333333333;10;20;1;1;5;6;8;6;14;3;1;0;2;1;0;10;1;0;47.3;51;49.25;47.8;4;7400;45; 7100;45;14250;4;34;129;100;229
4261;Aminu, Al-Farouq;4248;Aminu, Al-Farouq;por;1;1;28.4;3;6;2;3;1;1;0;4;4;1;1;0;1;0;0;0;0;0;16.3;18;18.25;17.3;4;5000;4; 4400;34; 8400;4;20;113;104;217
3397;Andersen, Chris;1135;Andersen, Chris;cle;1;0;5.56666666666667;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;4;4;4;5;3700;5; 3000;45; 5000;5;10;117;88;205
4736;Anderson, Kyle;2993874;Anderson, Kyle;sas;1;1;22.4;1;1;1;1;0;0;2;2;4;0;1;0;0;1;0;-4;0;0;9.8;10.5;11;10.3;3;3500;3; 3500;3; 8400;3;10;129;100;229
3510;Anthony, Carmelo;1975;Anthony, Carmelo;nyk;1;1;30.0833333333333;8;18;1;4;2;2;1;4;5;3;1;0;4;5;0;-19;0;0;27.5;30.25;28.25;28;3;8000;3; 7600;34;15750;3;41;88;117;205
5006;Baker, Ron;0;Baker, Ron;nyk;1;0;6.73333333333333;2;3;1;1;0;0;0;1;1;0;0;0;0;0;0;-5;0;0;6.2;6.75;7;6.7;1;3500;2; 3000;2; 5000;2;10;88;117;205
4989;Bertans, Davis;0;Bertans, Davis;sas;1;0;3.68333333333333;2;2;1;1;0;0;0;1;1;0;0;0;0;0;0;6;0;0;6.2;6.75;7.25;6.7;3;3500;3; 3000;3; 5000;3;10;129;100;229
4978;Bolomboy, Joel;0;Bolomboy, Joel;uta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3500;4; 3000;4; 5000;4;10;104;113;217
4441;Burks, Alec;6429;Burks, Alec;uta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4500;2; 3300;12; 5000;2;15;104;113;217
4611;Clark, Ian;2489785;Clark, Ian;gsw;1;0;13.3666666666667;2;8;0;4;1;2;0;0;0;2;0;1;0;0;0;-29;0;0;10;10;8.25;10;2;3500;12; 3000;12; 5000;1;10;100;129;229
4811;Connaughton, Pat;0;Connaughton, Pat;por;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3500;3; 3000;23; 5000;2;10;113;104;217
4561;Crabbe, Allen;2531210;Crabbe, Allen;por;1;0;29.15;6;10;4;5;2;2;0;3;3;3;0;0;2;2;0;14;0;0;24.1;27.25;28.25;26.1;2;4200;23; 3400;12; 7500;2;12;113;104;217
4173;Curry, Stephen;3975;Curry, Stephen;gsw;1;1;34.1;9;18;3;10;5;6;0;3;3;4;0;0;4;1;0;-9;0;0;31.6;35.25;34.25;33.1;1;9300;1; 9600;12;18700;1;53;100;129;229
4276;Davis, Ed;4259;Davis, Ed;por;1;0;24.1166666666667;2;3;0;0;2;2;3;4;7;1;0;1;0;2;0;21;0;0;17.9;18.25;18;17.9;4;3900;45; 3800;45; 6350;4;12;113;104;217
4572;Dedmon, Dewayne;2580913;Dedmon, Dewayne;sas;1;0;16.5666666666667;1;4;0;0;0;0;4;4;8;0;1;2;1;3;0;29;0;0;16.6;17.5;16.75;16.6;5;3900;5; 3200;5; 7400;5;10;129;100;229
3527;Diaw, Boris;2167;Diaw, Boris;uta;1;1;32.1666666666667;1;8;0;3;0;0;1;2;3;0;0;0;1;5;0;1;0;0;4.6;5.25;3.5;4.6;4;3500;45; 3100;45; 5000;5;10;104;113;217
3404;Dunleavy, Mike;1708;Dunleavy, Mike;cle;1;0;22.5333333333333;2;3;0;1;0;0;0;4;4;2;3;0;0;0;0;19;0;0;17.8;18;17.75;17.8;3;3600;23; 3000;23; 5000;2;10;117;88;205
3986;Durant, Kevin;3202;Durant, Kevin;gsw;1;1;36.6;11;18;1;3;4;5;0;10;10;4;2;2;0;2;0;-13;1;0;53;55.5;54.5;53.5;3;9300;34; 9400;34;17700;3;49;100;129;229
4707;Exum, Dante;3102528;Exum, Dante;uta;1;0;8.33333333333333;2;4;0;1;1;1;1;1;2;0;0;0;0;2;0;-18;0;0;7.4;7.5;7;7.4;1;3500;1; 3400;1; 8750;1;10;104;113;217
4503;Ezeli, Festus;6587;Ezeli, Festus;por;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3500;5; 3300;5; 6700;5;10;113;104;217
4280;Favors, Derrick;4257;Favors, Derrick;uta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6900;4; 6700;45;13650;4;29;104;113;217
4972;Felder, Kay;0;Felder, Kay;cle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3900;1; 3100;1; 6200;1;10;117;88;205
4995;Forbes, Bryn;0;Forbes, Bryn;sas;1;0;3.68333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;3500;1; 3000;1; 5000;1;10;129;100;229
