By Opponent,GP,MIN,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS,NAME
vs. Charlotte,2,33.5,8.0-16.5,.485,5.0-8.5,.588,0.5-1.0,.500,1.0,8.0,9.0,3.0,0.0,1.0,3.5,1.0,21.5,Avery Bradley
vs. Chicago,2,39.5,6.0-13.5,.444,1.0-5.0,.200,1.5-2.0,.750,1.5,4.0,5.5,4.5,0.5,0.0,3.0,1.5,14.5,Avery Bradley
vs. Cleveland,2,34.5,10.5-20.5,.512,2.5-8.0,.313,1.0-1.0,1.000,0.5,6.0,6.5,1.0,0.0,2.5,2.5,3.5,24.5,Avery Bradley
vs. Dallas,1,34.0,8.0-19.0,.421,2.0-6.0,.333,0.0-1.0,.000,2.0,11.0,13.0,1.0,0.0,0.0,1.0,3.0,18.0,Avery Bradley
vs. Denver,1,34.0,6.0-17.0,.353,1.0-5.0,.200,1.0-2.0,.500,2.0,9.0,11.0,6.0,1.0,0.0,2.0,0.0,14.0,Avery Bradley
vs. Detroit,2,35.5,5.0-11.0,.455,2.5-5.5,.455,1.0-1.0,1.000,0.5,4.5,5.0,1.5,0.0,0.5,1.5,1.0,13.5,Avery Bradley
vs. Golden State,1,35.0,7.0-15.0,.467,2.0-4.0,.500,1.0-2.0,.500,1.0,9.0,10.0,2.0,1.0,2.0,2.0,3.0,17.0,Avery Bradley
vs. Houston,1,35.0,8.0-16.0,.500,0.0-2.0,.000,0.0-0.0,.000,2.0,8.0,10.0,1.0,0.0,1.0,5.0,1.0,16.0,Avery Bradley
vs. Indiana,2,33.5,5.5-12.0,.458,0.5-3.5,.143,2.5-2.5,1.000,1.0,5.5,6.5,2.5,0.5,2.5,3.5,3.0,14.0,Avery Bradley
vs. Miami,2,36.5,8.5-16.0,.531,2.0-3.0,.667,0.0-0.0,.000,0.5,5.0,5.5,1.0,0.0,0.5,3.5,1.0,19.0,Avery Bradley
vs. Minnesota,1,33.0,5.0-12.0,.417,1.0-3.0,.333,2.0-2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,13.0,Avery Bradley
vs. New Orleans,1,34.0,7.0-17.0,.412,3.0-8.0,.375,2.0-2.0,1.000,1.0,9.0,10.0,1.0,0.0,0.0,4.0,2.0,19.0,Avery Bradley
vs. New York,2,32.0,5.0-14.5,.345,1.0-2.5,.400,2.0-2.0,1.000,1.5,6.5,8.0,2.0,0.0,3.0,2.0,1.5,13.0,Avery Bradley
vs. Oklahoma City,2,35.5,7.0-17.0,.412,1.5-4.5,.333,1.5-3.5,.429,1.5,3.5,5.0,1.5,0.0,1.5,2.5,2.5,17.0,Avery Bradley
vs. Orlando,1,33.0,7.0-14.0,.500,3.0-5.0,.600,6.0-7.0,.857,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,23.0,Avery Bradley
vs. Philadelphia,2,34.0,9.5-20.0,.475,3.5-8.5,.412,0.5-1.0,.500,2.0,7.0,9.0,2.0,0.0,1.0,1.0,0.5,23.0,Avery Bradley
vs. Sacramento,1,35.0,6.0-13.0,.462,2.0-4.0,.500,1.0-1.0,1.000,2.0,7.0,9.0,2.0,0.0,2.0,1.0,1.0,15.0,Avery Bradley
vs. San Antonio,2,37.0,9.0-15.5,.581,3.0-5.0,.600,1.0-1.0,1.000,1.0,8.0,9.0,4.5,0.0,1.5,2.0,2.0,22.0,Avery Bradley
vs. Utah,1,36.0,4.0-7.0,.571,2.0-4.0,.500,4.0-4.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,14.0,Avery Bradley
vs. Washington,1,38.0,9.0-14.0,.643,3.0-7.0,.429,0.0-1.0,.000,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,21.0,Avery Bradley
vs. Toronto,1,34.0,7.0-11.0,.636,5.0-7.0,.714,0.0-0.0,.000,0.0,5.0,5.0,2.0,0.0,0.0,5.0,4.0,19.0,Avery Bradley
vs. Memphis,2,36.5,7.5-12.5,.600,1.0-3.0,.333,3.5-4.5,.778,1.0,4.0,5.0,3.5,1.0,1.5,4.5,1.0,19.5,Avery Bradley
vs. Brooklyn,2,34.0,8.5-18.5,.459,2.0-5.5,.364,0.5-1.0,.500,2.5,5.5,8.0,3.5,0.0,3.0,3.5,2.5,19.5,Avery Bradley
vs. Charlotte,2,33.5,8.0-16.5,.485,5.0-8.5,.588,0.5-1.0,.500,1.0,8.0,9.0,3.0,0.0,1.0,3.5,1.0,21.5,Avery Bradley
vs. Chicago,2,39.5,6.0-13.5,.444,1.0-5.0,.200,1.5-2.0,.750,1.5,4.0,5.5,4.5,0.5,0.0,3.0,1.5,14.5,Avery Bradley
vs. Cleveland,2,34.5,10.5-20.5,.512,2.5-8.0,.313,1.0-1.0,1.000,0.5,6.0,6.5,1.0,0.0,2.5,2.5,3.5,24.5,Avery Bradley
vs. Dallas,1,34.0,8.0-19.0,.421,2.0-6.0,.333,0.0-1.0,.000,2.0,11.0,13.0,1.0,0.0,0.0,1.0,3.0,18.0,Avery Bradley
vs. Denver,1,34.0,6.0-17.0,.353,1.0-5.0,.200,1.0-2.0,.500,2.0,9.0,11.0,6.0,1.0,0.0,2.0,0.0,14.0,Avery Bradley
vs. Detroit,2,35.5,5.0-11.0,.455,2.5-5.5,.455,1.0-1.0,1.000,0.5,4.5,5.0,1.5,0.0,0.5,1.5,1.0,13.5,Avery Bradley
vs. Golden State,1,35.0,7.0-15.0,.467,2.0-4.0,.500,1.0-2.0,.500,1.0,9.0,10.0,2.0,1.0,2.0,2.0,3.0,17.0,Avery Bradley
vs. Houston,1,35.0,8.0-16.0,.500,0.0-2.0,.000,0.0-0.0,.000,2.0,8.0,10.0,1.0,0.0,1.0,5.0,1.0,16.0,Avery Bradley
vs. Indiana,2,33.5,5.5-12.0,.458,0.5-3.5,.143,2.5-2.5,1.000,1.0,5.5,6.5,2.5,0.5,2.5,3.5,3.0,14.0,Avery Bradley
vs. Miami,2,36.5,8.5-16.0,.531,2.0-3.0,.667,0.0-0.0,.000,0.5,5.0,5.5,1.0,0.0,0.5,3.5,1.0,19.0,Avery Bradley
vs. Minnesota,1,33.0,5.0-12.0,.417,1.0-3.0,.333,2.0-2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,13.0,Avery Bradley
vs. New Orleans,1,34.0,7.0-17.0,.412,3.0-8.0,.375,2.0-2.0,1.000,1.0,9.0,10.0,1.0,0.0,0.0,4.0,2.0,19.0,Avery Bradley
vs. New York,2,32.0,5.0-14.5,.345,1.0-2.5,.400,2.0-2.0,1.000,1.5,6.5,8.0,2.0,0.0,3.0,2.0,1.5,13.0,Avery Bradley
vs. Oklahoma City,2,35.5,7.0-17.0,.412,1.5-4.5,.333,1.5-3.5,.429,1.5,3.5,5.0,1.5,0.0,1.5,2.5,2.5,17.0,Avery Bradley
vs. Orlando,1,33.0,7.0-14.0,.500,3.0-5.0,.600,6.0-7.0,.857,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,23.0,Avery Bradley
vs. Philadelphia,2,34.0,9.5-20.0,.475,3.5-8.5,.412,0.5-1.0,.500,2.0,7.0,9.0,2.0,0.0,1.0,1.0,0.5,23.0,Avery Bradley
vs. Sacramento,1,35.0,6.0-13.0,.462,2.0-4.0,.500,1.0-1.0,1.000,2.0,7.0,9.0,2.0,0.0,2.0,1.0,1.0,15.0,Avery Bradley
vs. San Antonio,2,37.0,9.0-15.5,.581,3.0-5.0,.600,1.0-1.0,1.000,1.0,8.0,9.0,4.5,0.0,1.5,2.0,2.0,22.0,Avery Bradley
vs. Utah,1,36.0,4.0-7.0,.571,2.0-4.0,.500,4.0-4.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,14.0,Avery Bradley
vs. Washington,1,38.0,9.0-14.0,.643,3.0-7.0,.429,0.0-1.0,.000,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,21.0,Avery Bradley
vs. Toronto,1,34.0,7.0-11.0,.636,5.0-7.0,.714,0.0-0.0,.000,0.0,5.0,5.0,2.0,0.0,0.0,5.0,4.0,19.0,Avery Bradley
vs. Memphis,2,36.5,7.5-12.5,.600,1.0-3.0,.333,3.5-4.5,.778,1.0,4.0,5.0,3.5,1.0,1.5,4.5,1.0,19.5,Avery Bradley
vs. Brooklyn,2,12.0,1.5-2.5,.600,0.0-0.0,.000,1.5-2.0,.750,0.5,2.0,2.5,0.5,1.0,0.5,1.0,1.5,4.5,Jaylen Brown
vs. Charlotte,2,10.5,2.0-5.5,.364,0.0-1.0,.000,0.5-0.5,1.000,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,4.5,Jaylen Brown
