Arena,NAME,MIN,FG%,3P%,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS,FMG,FMA,PM3,PA3,FTM,FTA,GP
Away,Avery Bradley,35.0882352941176,0.516529411764706,0.405647058823529,0.525882352941176,0.823529411764706,5.55882352941176,6.38235294117647,2.32352941176471,0.264705882352941,1.55882352941176,2.85294117647059,1.73529411764706,18.9117647058824,7.67647058823529,14.9705882352941,2,4.91176470588235,1.55882352941176,2.02941176470588,20
Home,Avery Bradley,34.9,0.436,0.439,0.72,1.6,6.3,7.9,2.6,0.2,0.9,2.5,1.7,16.8,6.6,15.1,2.4,5.5,1.2,1.7,15
Away,Jaylen Brown,13.7941176470588,0.410588235294118,0.196058823529412,0.406882352941176,0.735294117647059,1.11764705882353,1.85294117647059,0.5,0.176470588235294,0.411764705882353,1.20588235294118,0.794117647058823,5.26470588235294,2.05882352941176,4.17647058823529,0.323529411764706,0.941176470588235,0.823529411764706,1.14705882352941,20
Home,Jaylen Brown,12.3,0.418,0.3,0.579,0.4,1.4,1.8,0.6,0.4,0.3,1.4,0.5,4.6,1.8,4.2,0.4,1.3,0.7,1.2,16
Away,Jae Crowder,32,0.497933333333333,0.4144,0.633,0.6,4.86666666666667,5.46666666666667,2.06666666666667,0.4,1,2.8,1.33333333333333,13.0666666666667,4.46666666666667,8.96666666666667,2.03333333333333,4.8,2.1,2.5,16
Home,Jae Crowder,30.9,0.46,0.418,1,0.4,3.8,4.2,2.7,0.3,1.1,2.3,1,12.3,4.3,9.4,2.3,5.6,1.3,1.3,12
Away,Gerald Green,9.3125,0.21875,0.1875,0.25,0.375,1,1.375,0.5,0.3125,0.4375,0.8125,0.5,3.5,1.1875,4.125,0.625,2.25,0.5,0.75,9
Home,Gerald Green,10.4,0.465,0.45,1,0.8,1.8,2.6,1.7,0.1,0.1,0.9,0.6,5.9,2.2,4.8,1,2.2,0.4,0.4,9
Away,Al Horford,33,0.439066666666667,0.287933333333333,0.55,1.46666666666667,5.06666666666667,6.53333333333333,5.13333333333333,1.66666666666667,0.666666666666667,2.06666666666667,1.26666666666667,14.4666666666667,5.93333333333333,13.4666666666667,1.06666666666667,4.06666666666667,1.53333333333333,1.73333333333333,15
Home,Al Horford,32.5,0.504,0.434,0.793,1.5,5.5,6.9,4.5,2.4,0.7,2.6,2.2,17.3,6.5,13,2.1,4.8,2.1,2.6,11
Away,Demetrius Jackson,3,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,1,0.5,0.5,0,0,0,1,2
Home,Demetrius Jackson,5.5,0.667,1,0.75,1,0.5,1.5,1,0,0,0,0,4,1,1.5,0.5,0.5,1.5,2,2
Away,Jonas Jerebko,16,0.425176470588235,0.423529411764706,0.205882352941176,0.705882352941177,2.11764705882353,2.82352941176471,0.529411764705882,0.176470588235294,0.352941176470588,1.82352941176471,0.441176470588235,4.29411764705882,1.61764705882353,3.61764705882353,0.764705882352941,1.94117647058824,0.294117647058824,0.352941176470588,20
Home,Jonas Jerebko,17.2,0.468,0.357,0.714,0.9,2.7,3.6,1.2,0.2,0.7,1.5,0.6,4.6,1.8,3.9,0.6,1.8,0.3,0.4,16
Away,Amir Johnson,20.2058823529412,0.479470588235294,0.156823529411765,0.352941176470588,1.5,2.73529411764706,4.23529411764706,1.64705882352941,0.441176470588235,0.294117647058824,3.11764705882353,0.617647058823529,5.5,2.29411764705882,4.5,0.176470588235294,0.735294117647059,0.735294117647059,1.05882352941176,20
Home,Amir Johnson,20.7,0.571,0.615,0.71,1.7,2.8,4.5,2.3,0.9,1,1.9,1.1,7.9,3,5.3,0.5,0.8,1.4,1.9,16
Away,Jordan Mickey,7.4,0.4,0,0.2,1.2,1.2,2.4,0.4,0,0.2,1.2,0.4,2.4,1,2.4,0,0,0.4,0.8,5
Home,Jordan Mickey,7.8,0.625,0,0,0.5,0.8,1.3,0.3,0,0,0.5,0.5,2.5,1.3,2,0,0,0,0.3,4
Away,Kelly Olynyk,19.7666666666667,0.459133333333333,0.4078,0.49,0.533333333333333,3.16666666666667,3.7,1.53333333333333,0.233333333333333,0.866666666666667,2.5,1.2,7.5,2.6,6.16666666666667,1,3.13333333333333,1.3,1.63333333333333,17
Home,Kelly Olynyk,20.7,0.449,0.324,0.722,0.8,3.5,4.3,2.2,0.5,0.8,2.4,1,7.2,2.7,6,0.8,2.6,1,1.4,13
Away,Terry Rozier,17.5625,0.3791875,0.2136875,0.234375,0.625,2.6875,3.3125,1.84375,0.09375,0.5625,0.6875,0.375,6.15625,2.5,6.34375,0.71875,2.5,0.4375,0.6875,18
