NO.,NAME,POS,AGE,HT,WT,COLLEGE,2016-2017 SALARY,Coach,Team
0,Avery Bradley,SG,26,6-2,180,Texas,"$8,269,663",Brad Stevens,Boston Celtics
7,Jaylen Brown,SF,20,6-7,225,California,"$4,743,000",Brad Stevens,Boston Celtics
99,Jae Crowder,SF,26,6-6,235,Marquette,"$6,286,408",Brad Stevens,Boston Celtics
30,Gerald Green,SF,30,6-7,205, ,"$980,431",Brad Stevens,Boston Celtics
42,Al Horford,C,30,6-10,245,Florida,"$26,540,100",Brad Stevens,Boston Celtics
9,Demetrius Jackson,PG,22,6-1,201,Notre Dame,"$1,450,000",Brad Stevens,Boston Celtics
8,Jonas Jerebko,PF,29,6-10,231, ,"$5,000,000",Brad Stevens,Boston Celtics
90,Amir Johnson,PF,29,6-9,240, ,"$12,000,000",Brad Stevens,Boston Celtics
55,Jordan Mickey,PF,22,6-8,235,LSU,"$1,223,653",Brad Stevens,Boston Celtics
41,Kelly Olynyk,C,25,7-0,238,Gonzaga,"$3,094,014",Brad Stevens,Boston Celtics
12,Terry Rozier,PG,22,6-2,190,Louisville,"$1,906,440",Brad Stevens,Boston Celtics
36,Marcus Smart,PG,22,6-4,220,Oklahoma State,"$3,578,880",Brad Stevens,Boston Celtics
4,Isaiah Thomas,PG,27,5-9,185,Washington,"$6,587,132",Brad Stevens,Boston Celtics
13,James Young,SG,21,6-6,215,Kentucky,"$1,825,200",Brad Stevens,Boston Celtics
44,Tyler Zeller,C,26,7-0,253,North Carolina,"$8,000,000",Brad Stevens,Boston Celtics
13,Anthony Bennett,PF,23,6-8,235,UNLV,"$1,015,696",Kenny Atkinson,Brooklyn Nets
44,Bojan Bogdanovic,SG,27,6-8,225, ,"$3,573,020",Kenny Atkinson,Brooklyn Nets
35,Trevor Booker,PF,29,6-8,228,Clemson,"$9,250,000",Kenny Atkinson,Brooklyn Nets
8,Spencer Dinwiddie,PG,23,6-6,200,Colorado,"$726,672",Kenny Atkinson,Brooklyn Nets
2,Randy Foye,SG,33,6-4,218,Villanova,"$2,500,000",Kenny Atkinson,Brooklyn Nets
41,Justin Hamilton,C,26,7-0,255,LSU,"$3,000,000",Kenny Atkinson,Brooklyn Nets
12,Joe Harris,SF,25,6-6,219,Virginia,"$980,431",Kenny Atkinson,Brooklyn Nets
24,Rondae Hollis-Jefferson,SF,22,6-7,214,Arizona,"$1,395,600",Kenny Atkinson,Brooklyn Nets
6,Sean Kilpatrick,SG,27,6-4,219,Cincinnati,"$980,431",Kenny Atkinson,Brooklyn Nets
22,Caris LeVert,SG,22,6-7,203,Michigan,"$1,562,280",Kenny Atkinson,Brooklyn Nets
7,Jeremy Lin,PG,28,6-3,200,Harvard,"$11,483,254",Kenny Atkinson,Brooklyn Nets
11,Brook Lopez,C,28,7-0,268,Stanford,"$21,165,675",Kenny Atkinson,Brooklyn Nets
1,Chris McCullough,PF,21,6-9,215,Syracuse,"$1,191,480",Kenny Atkinson,Brooklyn Nets
4,Luis Scola,PF,36,6-9,241, ,"$5,500,000",Kenny Atkinson,Brooklyn Nets
15,Isaiah Whitehead,PG,21,6-4,213,Seton Hall,"$1,074,145",Kenny Atkinson,Brooklyn Nets
7,Carmelo Anthony,SF,32,6-8,240,Syracuse,"$24,559,380",Jeff Hornacek,New York Knicks
31,Ron Baker,SG,23,6-4,220,Wichita State,"$543,471",Jeff Hornacek,New York Knicks
14,Willy Hernangomez,C,22,6-11,240, ,"$1,350,000",Jeff Hornacek,New York Knicks
8,Justin Holiday,SG,27,6-6,185,Washington,"$1,015,696",Jeff Hornacek,New York Knicks
3,Brandon Jennings,PG,27,6-1,170, ,"$5,000,000",Jeff Hornacek,New York Knicks
91,Mindaugas Kuzminskas,SF,27,6-9,215, ,"$2,898,000",Jeff Hornacek,New York Knicks
5,Courtney Lee,SG,31,6-5,200,Western Kentucky,"$11,242,000",Jeff Hornacek,New York Knicks
2,Maurice Daly Ndour,SF,24,6-9,200,Ohio,"$543,471",Jeff Hornacek,New York Knicks
13,Joakim Noah,C,31,6-11,230,Florida,"$17,000,000",Jeff Hornacek,New York Knicks
9,Kyle O'Quinn,C,26,6-10,250,Norfolk State,"$3,918,750",Jeff Hornacek,New York Knicks
40,Marshall Plumlee,C,24,7-0,250,Duke,"$543,471",Jeff Hornacek,New York Knicks
6,Kristaps Porzingis,PF,21,7-3,240, ,"$4,317,720",Jeff Hornacek,New York Knicks
25,Derrick Rose,PG,28,6-3,190,Memphis,"$21,323,252",Jeff Hornacek,New York Knicks
42,Lance Thomas,SF,28,6-8,235,Duke,"$6,191,000",Jeff Hornacek,New York Knicks
18,Sasha Vujacic,SG,32,6-7,195, ,"$980,431",Jeff Hornacek,New York Knicks
0,Jerryd Bayless,PG,28,6-3,200,Arizona,"$9,424,084",Brett Brown,Philadelphia 76ers
33,Robert Covington,SF,26,6-9,215,Tennessee State,"$1,015,696",Brett Brown,Philadelphia 76ers
21,Joel Embiid,C,22,7-0,250,Kansas,"$4,826,160",Brett Brown,Philadelphia 76ers
12,Gerald Henderson,SG,29,6-5,215,Duke,"$9,000,000",Brett Brown,Philadelphia 76ers
22,Richaun Holmes,PF,23,6-10,245,Bowling Green,"$1,025,831",Brett Brown,Philadelphia 76ers
7,Ersan Ilyasova,PF,29,6-10,235, ,"$8,400,000",Brett Brown,Philadelphia 76ers
20,Timothe Luwawu-Cabarrot,SG,21,6-6,205, ,"$1,326,960",Brett Brown,Philadelphia 76ers
1,T.J. McConnell,PG,24,6-2,200,Arizona,"$874,636",Brett Brown,Philadelphia 76ers
4,Nerlens Noel,PF,22,6-11,228,Kentucky,"$4,384,490",Brett Brown,Philadelphia 76ers
8,Jahlil Okafor,C,21,6-11,275,Duke,"$4,788,840",Brett Brown,Philadelphia 76ers
14,Sergio Rodriguez,PG,30,6-3,176, ,"$8,000,000",Brett Brown,Philadelphia 76ers
9,Dario Saric,PF,22,6-10,223, ,"$2,318,280",Brett Brown,Philadelphia 76ers
25,Ben Simmons,SF,20,6-10,240,LSU,"$5,903,160",Brett Brown,Philadelphia 76ers
11,Nik Stauskas,SG,23,6-6,205,Michigan,"$2,993,040",Brett Brown,Philadelphia 76ers
20,Bruno Caboclo,SF,21,6-9,205, ,"$1,589,640",Dwane Casey,Toronto Raptors
5,DeMarre Carroll,SF,30,6-8,212,Missouri,"$14,200,000",Dwane Casey,Toronto Raptors
10,DeMar DeRozan,SG,27,6-7,220,USC,"$26,540,100",Dwane Casey,Toronto Raptors
6,Cory Joseph,PG,25,6-3,190,Texas,"$7,315,000",Dwane Casey,Toronto Raptors
7,Kyle Lowry,PG,30,6-0,205,Villanova,"$12,000,000",Dwane Casey,Toronto Raptors
92,Lucas Nogueira,C,24,7-0,220, ,"$1,921,320",Dwane Casey,Toronto Raptors
54,Patrick Patterson,PF,27,6-9,235,Kentucky,"$6,050,000",Dwane Casey,Toronto Raptors
42,Jakob Poeltl,C,21,7-0,230,Utah,"$2,703,960",Dwane Casey,Toronto Raptors
24,Norman Powell,SG,23,6-4,215,UCLA,"$874,636",Dwane Casey,Toronto Raptors
31,Terrence Ross,SF,25,6-7,195,Washington,"$10,000,000",Dwane Casey,Toronto Raptors
43,Pascal Siakam,PF,22,6-9,230,New Mexico State,"$1,196,040",Dwane Casey,Toronto Raptors
0,Jared Sullinger,C,24,6-9,260,Ohio State,"$5,628,000",Dwane Casey,Toronto Raptors
17,Jonas Valanciunas,C,24,7-0,255, ,"$14,382,023",Dwane Casey,Toronto Raptors
23,Fred VanVleet,PG,22,6-0,195,Wichita State,"$543,471",Dwane Casey,Toronto Raptors
55,Delon Wright,PG,24,6-5,190,Utah,"$1,577,280",Dwane Casey,Toronto Raptors
21,Ian Clark,SG,25,6-3,175,Belmont,"$980,431",Steve Kerr,Golden State Warriors
30,Stephen Curry,PG,28,6-3,190,Davidson,"$12,112,359",Steve Kerr,Golden State Warriors
35,Kevin Durant,SF,28,6-9,240,Texas,"$26,540,100",Steve Kerr,Golden State Warriors
23,Draymond Green,PF,26,6-7,230,Michigan State,"$15,330,435",Steve Kerr,Golden State Warriors
9,Andre Iguodala,SF,32,6-6,215,Arizona,"$11,131,368",Steve Kerr,Golden State Warriors
15,Damian Jones,C,21,7-0,245,Vanderbilt,"$1,171,560",Steve Kerr,Golden State Warriors
34,Shaun Livingston,PG,31,6-7,192, ,"$5,782,450",Steve Kerr,Golden State Warriors
5,Kevon Looney,SF,20,6-9,220,UCLA,"$1,182,840",Steve Kerr,Golden State Warriors
20,James Michael McAdoo,SF,24,6-9,240,North Carolina,"$980,431",Steve Kerr,Golden State Warriors
0,Patrick McCaw,PG,21,6-7,185,UNLV,"$543,471",Steve Kerr,Golden State Warriors
1,JaVale McGee,C,28,7-0,270,Nevada,"$1,403,611",Steve Kerr,Golden State Warriors
27,Zaza Pachulia,C,32,6-11,275, ,"$2,898,000",Steve Kerr,Golden State Warriors
11,Klay Thompson,SG,26,6-7,215,Washington State,"$16,663,575",Steve Kerr,Golden State Warriors
18,Anderson Varejao,C,34,6-11,273, ,"$980,431",Steve Kerr,Golden State Warriors
3,David West,PF,36,6-9,250,Xavier,"$980,431",Steve Kerr,Golden State Warriors
9,Alan Anderson,SG,34,6-6,220,Michigan State,"$980,431",Doc Rivers,LA Clippers
