RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Russell Westbrook, OKC",41,34.7,.541,23.7,12.2,42.4,6.0,27.7,17.1,29.74,398.1,13.3
2,"Anthony Davis, NO",37,37.1,.574,7.2,8.5,30.5,6.7,27.7,17.1,28.25,342.7,11.4
3,"Giannis Antetokounmpo, MIL",37,34.7,.611,20.5,10.7,27.7,6.1,21.9,14.3,28.10,337.2,11.2
4,"James Harden, HOU",42,36.6,.612,28.7,14.2,35.2,3.9,20.8,12.4,28.00,401.9,13.4
5,"Kawhi Leonard, SA",37,33.1,.616,12.5,7.4,28.0,4.5,15.1,10.0,27.77,315.8,10.5
6,"Kevin Durant, GS",40,34.6,.650,17.4,8.5,26.4,2.0,23.7,13.6,27.40,348.6,11.6
,"Chris Paul, LAC",34,31.4,.609,36.6,8.8,25.5,2.5,16.0,9.4,27.40,261.4,8.7
8,"DeMarcus Cousins, SAC",38,34.6,.562,12.8,9.9,34.8,6.5,27.2,16.7,27.11,306.1,10.2
9,"Isaiah Thomas, BOS",36,33.9,.613,19.5,7.6,32.5,1.9,6.9,4.4,26.82,288.5,9.6
10,"LeBron James, CLE",36,37.1,.600,24.5,12.0,30.5,4.2,18.4,11.5,26.44,317.6,10.6
11,"Jimmy Butler, CHI",38,36.6,.587,16.3,7.4,27.7,5.1,14.6,9.8,25.95,320.9,10.7
12,"DeMar DeRozan, TOR",39,35.5,.556,11.9,7.6,32.8,3.1,13.8,8.4,25.32,306.5,10.2
13,"Enes Kanter, OKC",41,21.2,.619,7.0,10.9,24.6,13.4,21.0,17.3,24.91,186.1,6.2
14,"Nikola Jokic, DEN",34,24.8,.650,24.4,10.8,20.9,11.3,23.8,17.6,24.47,163.0,5.4
15,"George Hill, UTAH",17,30.9,.656,21.2,7.5,23.2,2.1,11.4,7.0,24.18,103.3,3.4
16,"Kyle Lowry, TOR",39,37.4,.642,26.0,10.7,24.5,2.7,12.2,7.4,23.98,282.7,9.4
17,"Stephen Curry, GS",40,33.6,.630,20.7,10.5,28.0,2.2,11.0,6.9,23.55,251.8,8.4
18,"Joel Embiid, PHI",27,25.2,.575,8.7,16.2,33.6,8.8,24.2,16.5,23.52,131.3,4.4
19,"Damian Lillard, POR",37,35.8,.586,19.5,8.6,30.0,1.8,13.1,7.4,23.44,245.8,8.2
20,"JaVale McGee, GS",36,8.1,.639,4.4,12.1,23.4,12.6,20.0,16.6,23.40,55.4,1.8
21,"John Wall, WSH",36,36.6,.544,28.8,12.3,31.2,2.7,11.4,7.0,23.19,240.0,8.0
22,"Kevin Love, CLE",35,32.0,.587,7.7,9.4,25.7,8.7,28.5,18.8,23.16,195.1,6.5
23,"Gordon Hayward, UTAH",34,34.8,.602,14.5,9.0,26.4,2.1,16.5,9.7,22.93,219.4,7.3
24,"Karl-Anthony Towns, MIN",40,35.7,.566,11.8,10.8,26.3,11.1,28.2,19.5,22.92,262.4,8.7
25,"Dwight Howard, ATL",35,29.3,.633,8.0,15.7,18.4,17.6,32.2,25.0,22.52,182.4,6.1
26,"Greg Monroe, MIL",37,21.3,.565,17.5,11.3,22.5,10.4,26.7,18.8,22.48,139.9,4.7
27,"Kemba Walker, CHA",39,33.8,.581,19.8,8.5,28.2,2.0,11.4,6.7,22.39,224.0,7.5
28,"Blake Griffin, LAC",26,33.7,.543,17.7,9.1,28.0,6.9,21.7,14.5,22.27,140.7,4.7
29,"Hassan Whiteside, MIA",37,33.8,.566,4.0,11.4,21.4,12.3,33.9,22.9,22.18,216.3,7.2
30,"Louis Williams, LAL",43,24.1,.585,15.0,10.6,29.7,1.0,9.0,4.9,22.01,178.0,5.9
31,"Kyrie Irving, CLE",34,35.0,.572,19.6,9.0,28.9,2.9,8.0,5.5,21.98,194.9,6.5
32,"Mike Conley, MEM",30,32.2,.578,24.8,9.2,26.3,1.8,11.4,6.5,21.85,156.6,5.2
33,"Rudy Gobert, UTAH",41,33.3,.683,7.8,15.9,14.0,13.0,28.5,21.2,21.41,220.1,7.3
34,"Andre Drummond, DET",41,30.8,.537,6.5,12.2,21.2,13.6,35.7,24.4,21.31,201.9,6.7
35,"C.J. McCollum, POR",42,34.8,.593,14.4,8.6,26.8,2.7,8.9,5.8,21.24,234.1,7.8
36,"Brook Lopez, BKN",36,29.4,.583,11.9,10.9,26.5,5.4,12.4,8.9,21.02,164.4,5.5
37,"Marreese Speights, LAC",41,16.2,.599,7.9,7.2,23.0,9.1,24.3,17.0,20.87,101.9,3.4
38,"Eric Bledsoe, PHX",39,32.5,.559,21.5,11.7,27.4,2.8,14.3,8.4,20.64,182.4,6.1
39,"Kyle O'Quinn, NY",38,15.5,.580,14.6,13.2,17.4,14.3,25.3,19.8,20.58,87.7,2.9
40,"Myles Turner, IND",38,29.7,.608,6.3,8.9,19.2,6.0,21.6,14.0,20.55,167.4,5.6
41,"Marc Gasol, MEM",40,33.9,.544,17.7,8.3,25.8,2.5,18.0,10.0,20.48,199.8,6.7
42,"Kenneth Faried, DEN",34,21.5,.584,8.4,11.4,16.8,16.6,24.6,20.6,20.41,97.2,3.2
43,"LaMarcus Aldridge, SA",35,32.1,.569,10.7,7.5,22.5,8.3,17.1,12.9,20.34,148.5,5.0
44,"Montrezl Harrell, HOU",33,19.0,.667,12.2,9.5,17.4,8.0,14.7,11.4,20.19,81.3,2.7
45,"Clint Capela, HOU",28,24.5,.625,7.9,11.3,17.7,10.8,25.6,18.2,20.06,96.9,3.2
46,"Jeff Teague, IND",39,31.8,.562,32.2,11.2,23.8,1.7,11.8,6.9,20.02,167.2,5.6
47,"Jabari Parker, MIL",38,34.1,.571,11.8,6.9,24.4,5.3,13.5,9.5,20.00,164.6,5.5
48,"Pau Gasol, SA",37,26.6,.564,18.7,8.5,20.1,7.0,26.7,17.2,19.97,137.8,4.6
49,"Jeremy Lin, BKN",12,25.0,.564,28.0,12.8,25.7,0.7,12.8,6.8,19.94,40.0,1.3
50,"Bradley Beal, WSH",34,34.5,.586,14.5,7.4,25.6,2.0,7.4,4.7,19.71,161.4,5.4
51,"DeAndre Jordan, LAC",41,31.9,.650,7.9,14.2,13.9,12.5,34.3,23.7,19.66,176.7,5.9
52,"Jonas Valanciunas, TOR",37,26.8,.591,5.0,11.4,17.9,13.0,27.9,20.4,19.51,131.9,4.4
53,"Zach Randolph, MEM",35,23.3,.488,10.3,7.3,28.3,10.7,28.7,19.4,19.42,96.3,3.2
54,"Dwyane Wade, CHI",36,30.5,.515,15.7,9.2,29.0,3.6,10.8,7.1,19.36,145.2,4.8
55,"Dwight Powell, DAL",39,20.0,.590,10.3,6.3,15.2,8.3,21.3,14.3,19.32,91.0,3.0
56,"Mason Plumlee, POR",42,27.8,.561,27.6,10.2,18.2,7.9,22.4,15.1,19.23,150.3,5.0
57,"Carmelo Anthony, NY",39,33.4,.531,12.3,6.8,28.0,2.6,16.9,9.7,19.20,169.0,5.6
58,"Paul George, IND",32,35.3,.573,12.8,11.2,25.8,2.7,16.1,9.5,19.12,145.6,4.9
59,"Willie Reed, MIA",32,13.7,.564,7.2,6.6,14.8,15.3,23.3,19.2,19.04,49.2,1.6
60,"Al Horford, BOS",30,33.0,.541,23.8,8.2,21.1,5.0,18.1,11.5,18.86,122.0,4.1
61,"Nikola Vucevic, ORL",38,28.1,.487,15.3,8.4,23.7,8.8,31.8,20.0,18.84,131.5,4.4
62,"Harrison Barnes, DAL",39,36.0,.548,6.8,5.9,24.4,4.1,14.3,8.9,18.50,167.5,5.6
63,"Paul Millsap, ATL",36,34.1,.528,16.8,9.6,23.6,5.3,20.7,13.1,18.45,127.1,4.2
64,"Serge Ibaka, ORL",40,30.7,.565,6.6,7.1,20.0,6.8,19.1,12.8,18.35,125.5,4.2
65,"David Lee, SA",38,17.2,.618,19.5,12.5,16.3,11.0,22.1,16.7,18.34,66.6,2.2
66,"Kristaps Porzingis, NY",36,34.1,.555,6.6,8.6,22.9,5.2,18.3,11.7,18.19,122.6,4.1
67,"Rudy Gay, SAC",28,33.9,.556,13.2,11.0,24.2,3.6,18.0,10.7,18.12,107.8,3.6
68,"Steven Adams, OKC",41,30.1,.627,8.8,14.6,15.6,11.2,16.8,14.1,18.03,137.0,4.6
69,"Otto Porter Jr., WSH",38,34.0,.643,12.3,6.0,14.6,4.8,17.3,11.0,17.95,143.5,4.8
70,"Draymond Green, GS",38,33.0,.542,38.6,11.8,17.1,5.4,21.6,14.1,17.91,120.1,4.0
71,"Brandon Bass, LAC",25,11.5,.644,9.8,12.0,17.3,7.6,13.4,10.6,17.55,25.9,0.9
72,"Dewayne Dedmon, SA",33,15.5,.614,9.8,11.0,12.3,12.1,30.6,21.7,17.49,52.7,1.8
73,"Cody Zeller, CHA",33,26.6,.616,12.5,10.4,15.7,9.1,16.5,12.9,17.41,89.1,3.0
74,"Thomas Robinson, LAL",30,11.9,.527,12.8,14.0,16.6,17.4,27.2,22.1,17.39,31.4,1.0
75,"Michael Beasley, MIL",32,16.4,.583,10.7,12.3,22.8,4.7,18.8,12.0,17.36,53.8,1.8
76,"Goran Dragic, MIA",33,34.2,.552,23.9,11.8,26.7,2.0,10.0,5.9,17.35,107.0,3.6
77,"Richaun Holmes, PHI",21,16.0,.559,10.9,10.9,18.1,10.2,19.6,14.9,17.30,29.2,1.0
78,"Al Jefferson, IND",39,15.1,.501,9.7,4.7,22.7,9.5,22.3,16.0,17.08,56.9,1.9
,"Julius Randle, LAL",38,29.6,.550,20.2,13.4,21.9,6.9,25.6,15.9,17.08,93.5,3.1
80,"Dennis Schroder, ATL",39,30.8,.543,24.6,11.7,27.0,1.9,8.7,5.4,17.07,108.7,3.6
81,"Jeremy Lamb, CHA",28,17.8,.528,11.5,5.8,21.8,3.3,25.5,14.5,16.92,47.7,1.6
