RK,TEAM,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF
1,Utah,93.1,15.9,13.7,21.8,77.1,51,52.8,56.6,106.6,100.9
2,Dallas,93.4,16.3,12.1,19,77.8,46.2,49.7,53.2,101.9,107.2
3,Memphis,95.4,16.1,12.2,23.9,78.4,50.3,48.1,52.5,102.2,101.6
4,San Antonio,95.9,18.8,12.5,23.6,78,51.7,53.6,57.8,111.3,101.4
5,Detroit,96.2,16.3,11.3,22.1,80.4,50.5,49.6,52.6,102.7,105.1
6,Sacramento,96.7,16.9,13.1,21.9,76.2,48.8,50.6,54.9,104.4,108.4
7,Minnesota,96.8,17.2,13.7,27.8,77.1,51.9,50.5,54.8,106.1,107
8,Chicago,96.9,15.9,12.2,29.7,76,52.5,47,51.9,103.8,104.8
9,Miami,97.1,16.4,12.2,23.4,76.3,49.3,48.9,51.6,100.6,105
10,Milwaukee,97.5,18.9,12.8,22.4,76,50,52.9,56.5,107.8,104.9
11,Orlando,97.9,16.9,12,22,76.7,48.6,49,52,100.8,105.7
12,Toronto,97.9,15,11.1,25.6,74.3,49.7,52.6,57.3,113.5,105.8
13,Boston,98.4,18.7,11.7,21.6,73.8,47.6,52.2,56.1,108.5,105.9
14,LA Clippers,98.6,17,12.3,22.1,76.8,50.3,52.7,56.7,108.8,103.2
15,Charlotte,98.9,17.5,11,21,79.2,50.3,49.5,54.2,105.4,104.4
16,Cleveland,98.9,16.4,12.5,24.3,75.5,50.5,52.9,56.8,109.7,105
17,Washington,99.1,17.4,13.3,23.8,76.4,50,51.9,55.4,105.6,106
18,Philadelphia,99.5,17.1,15.2,21.9,75.7,48.9,49.5,53.1,98.5,104.8
19,New York,99.8,16.1,12.6,26.7,74.3,50.4,49.7,53.3,104.5,107.7
20,Atlanta,99.8,17.8,14,24.3,76.7,50.7,50.6,53.9,102.5,102.1
21,Portland,99.8,16.9,12.4,21.7,76,48.8,52,55.9,107.2,109
22,New Orleans,99.9,17.1,11.7,18.2,77.5,47.6,49.1,52.8,101.2,103.3
23,Oklahoma City,100,16.1,13.3,26.2,77.9,52.7,50.8,54.6,105.1,103.7
24,Indiana,100.1,17,12.8,20,74.5,47.8,50.9,55.3,104.8,105.8
25,LA Lakers,100.3,15.6,13.5,25.5,75.4,49.6,49.9,53.9,104.1,110.2
26,Denver,100.7,17,13.6,28.2,79.2,53.7,51,55,106.6,110.1
27,Houston,101,18.5,13.7,25.3,76.2,50.9,55.3,58.7,112.2,105.9
28,Phoenix,102.3,13.7,14,26.4,77.2,51,49.2,53.4,102.6,107.5
29,Golden State,102.9,21.7,13.4,21.9,75.7,50.8,56.6,60.2,113.3,101.7
30,Brooklyn,104.2,15.6,15.1,19.7,75.6,47.9,50.4,54.6,100.6,108.7
