GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,date
3816,"Williams, Louis",Louis Williams,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,17.28333333,1,1,13.7,14.75,12.5,13.7,10pt 1rb 3as 2to 3-12fg 4-4ft,0,0,4900,0,4900,100,11900,-450,21,-2,2,2,12,2,2017-01-08
4379,"Irving, Kyrie",Kyrie Irving,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,1,39.96666667,1,1,34.9,40.5,40,36.9,27pt 2rb 7as 1st 7to 4trey 10-20fg 3-3ft,0,0,8900,300,8200,400,17750,750,37,0,1,1,12,1,2017-01-08
3503,"Scola, Luis",Luis Scola,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5600,600,10,0,4,45,45,4,2017-01-08
2448,"Carter, Vince",Vince Carter,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,24.83333333,1,1,10.7,11.25,11.25,11.2,3pt 1rb 3as 1st 1trey 1-3fg,0,0,3500,-200,3500,100,6250,-750,10,0,3,23,23,2,2017-01-08
4224,"Harden, James",James Harden,20170108,hou,tor,A,20170108-hou-tor,18,129,122,1,37.85,1,1,66.5,78.5,76.75,68.5,40pt 10rb 11as 2st 2bl 10to 4trey 13-26fg 10-10ft,1,1,11500,-300,11700,-500,23200,-1800,61,0,2,12,12,2,2017-01-08
4893,"Marjanovic, Boban",Boban Marjanovic,20170108,det,por,A,20170108-det-por,21,125,124,0,0,1,1,0,0,0,0,0pt,0,0,3900,400,NA,NA,5000,0,NA,NA,5,NA,5,NA,2017-01-08
4788,"Richardson, Josh",Josh Richardson,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,1,0,0,0,0,,0,0,5200,-500,5000,-600,9200,-1000,18,3,2,3,3,3,2017-01-08
4909,"Baldwin, Wade",Wade Baldwin,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4926,"Papagiannis, Georgios",Georgios Papagiannis,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4087,"Brown, Bobby",Bobby Brown,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,12,2,2017-01-08
3986,"Durant, Kevin",Kevin Durant,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,1,36.45,1,1,54.4,56.25,55.5,55.4,28pt 7rb 6as 1st 4bl 1to 2trey 9-15fg 8-9ft,0,0,10200,600,9700,300,21200,1450,50,0,3,3,34,3,2017-01-08
4969,"Richardson, Malachi",Malachi Richardson,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,2,2,2,2017-01-08
4980,"Satoransky, Tomas",Tomas Satoransky,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,1,0,0,0,0,,0,0,3500,0,3300,0,5000,0,10,0,2,1,12,1,2017-01-08
4159,"Lawson, Ty",Ty Lawson,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,21.58333333,1,1,20.9,21.5,20.25,20.9,15pt 2rb 3as 1to 4-8fg 7-8ft,0,0,4400,200,4200,200,8650,450,11,0,1,1,1,1,2017-01-08
3541,"James, LeBron",LeBron James,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,1,39.51666667,1,1,38.6,43.5,42.5,39.6,28pt 8rb 4as 1st 7to 2trey 11-17fg 4-6ft,0,0,10100,100,10200,-300,22400,-100,53,-2,3,3,34,3,2017-01-08
4362,"Liggins, DeAndre",DeAndre Liggins,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,1,25.46666667,1,1,19.7,21.25,21.5,20.2,7pt 1rb 1as 4st 2bl 2to 1trey 3-4fg,0,0,3500,0,3000,0,5000,0,10,0,2,2,23,2,2017-01-08
4836,"Okafor, Jahlil",Jahlil Okafor,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,0,0,1,0,0,0,0,,0,0,4400,0,4300,-100,10400,250,14,0,5,5,5,5,2017-01-08
4729,"Ennis, Tyler",Tyler Ennis,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4913,"Bender, Dragan",Dragan Bender,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,11.91666667,1,1,13.1,14.25,14,13.6,5pt 3rb 1as 1st 1bl 1to 1trey 2-5fg,0,0,3500,0,3000,0,5000,0,10,0,4,34,4,3,2017-01-08
4810,"Hollis-Jefferson, Rondae",Rondae Hollis-Jefferson,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,22.75,1,1,14.3,16,15.25,14.3,7pt 4rb 1as 2st 3to 3-5fg 1-2ft,0,0,4000,-100,3700,0,9100,950,10,0,3,3,23,3,2017-01-08
4977,"Wiltjer, Kyle",Kyle Wiltjer,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
4377,"Mack, Shelvin",Shelvin Mack,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,15.48333333,1,1,9.8,11,10.25,9.8,4pt 4rb 2as 2to 2-5fg,0,0,3900,-200,4300,-300,8350,0,13,0,1,1,1,1,2017-01-08
4761,"Vonleh, Noah",Noah Vonleh,20170108,por,det,H,20170108-det-por,21,124,125,0,13.23333333,1,1,5.4,5.5,5.5,5.4,0pt 2rb 2as,0,0,3500,0,NA,NA,5000,0,NA,NA,4,NA,4,NA,2017-01-08
3992,"Green, Jeff",Jeff Green,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,23.5,1,1,5.2,6.25,5.5,5.2,6pt 1rb 2to 2-5fg 2-2ft,0,0,3500,-100,3200,0,7800,-250,10,0,3,34,23,3,2017-01-08
4397,"Shumpert, Iman",Iman Shumpert,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,26.18333333,1,1,21.1,22.25,22.5,22.1,10pt 3rb 1as 1st 2bl 2trey 4-7fg,0,0,3600,-100,3500,-100,7250,-100,10,0,2,12,23,1,2017-01-08
4321,"Wall, John",John Wall,20170108,was,mil,A,20170108-was-mil,14,107,101,1,36.8,1,1,27.1,29.75,27.75,27.1,16pt 3rb 7as 1st 5to 7-15fg 2-2ft,0,0,9800,100,9900,-200,19000,-1650,49,0,1,1,1,1,2017-01-08
3786,"Paul, Chris",Chris Paul,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,1,28.86666667,1,1,56.2,59,58.75,56.7,19pt 6rb 18as 2st 1to 1trey 7-11fg 4-5ft,1,0,9100,0,8700,-200,16300,-2850,46,0,1,1,1,1,2017-01-08
4657,"McCollum, C.J.",C.J. McCollum,20170108,por,det,H,20170108-det-por,21,124,125,1,44.38333333,1,1,50.6,52.75,51.25,52.1,35pt 3rb 6as 1st 1bl 1to 3trey 16-28fg,0,0,8000,0,NA,NA,14400,-200,NA,NA,2,NA,12,NA,2017-01-08
4766,"Capela, Clint",Clint Capela,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,0,0,0,0,0,0,0,,0,0,5300,0,4900,0,11350,350,19,0,5,5,45,5,2017-01-08
4591,"Len, Alex",Alex Len,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,6.166666667,1,1,4,4,3.5,4,2pt 1bl 1-3fg,0,0,4200,0,3900,0,8600,-1300,18,8,4,5,45,5,2017-01-08
4458,"Biyombo, Bismack",Bismack Biyombo,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,1,26.3,1,1,24.2,27.25,26.75,24.2,10pt 11rb 2as 2to 4-6fg 2-4ft,1,0,3800,-400,3500,-100,9650,450,13,0,5,5,45,5,2017-01-08
4261,"Aminu, Al-Farouq",Al-Farouq Aminu,20170108,por,det,H,20170108-det-por,21,124,125,1,37.41666667,1,1,29.6,31,30.75,30.1,16pt 8rb 2as 1bl 1to 1trey 7-10fg 1-1ft,0,0,4500,400,NA,NA,7600,-500,NA,NA,4,NA,34,NA,2017-01-08
4302,"Patterson, Patrick",Patrick Patterson,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,22.4,1,1,18.4,20.25,20.75,19.4,8pt 7rb 2as 1to 2trey 3-5fg,0,0,4000,0,3600,0,8000,0,12,0,4,4,45,4,2017-01-08
3116,"Crawford, Jamal",Jamal Crawford,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,31.35,1,1,2.7,3.75,1,2.7,2pt 1rb 1as 2to 1-12fg,0,0,4500,-300,4700,-200,7600,-600,14,0,2,2,23,2,2017-01-08
4190,"Henderson, Gerald",Gerald Henderson,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,20.95,1,1,9.7,9.75,8.75,9.7,7pt 1rb 1as 3-7fg 1-1ft,0,0,3700,200,3400,200,7650,50,10,0,2,2,23,2,2017-01-08
