GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos
3816,"Williams, Louis",Louis Williams,20170110,lal,por,H,20170110-por-lal,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4700,-200,4600,-300,12350,450,21,0,2,2,12,2
4379,"Irving, Kyrie",Kyrie Irving,20170110,cle,uta,A,20170110-cle-uta,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,8100,-800,7700,-500,15100,-2650,37,0,1,1,12,1
4917,"Crawford, Drew",Drew Crawford,20170110,tor,bos,H,20170110-bos-tor,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4628,"Hardaway Jr., Tim",Tim Hardaway Jr.,20170110,atl,bkn,A,20170110-atl-bkn,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4500,400,4600,600,6950,650,11,1,2,23,23,3
4956,"Jankovic, Stefan",Stefan Jankovic,20170110,mia,gsw,A,20170110-mia-gsw,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3503,"Scola, Luis",Luis Scola,20170110,bkn,atl,H,20170110-atl-bkn,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3500,0,3000,0,5150,-450,10,0,4,45,45,4
4112,"Lopez, Robin",Robin Lopez,20170110,chi,was,A,20170110-chi-was,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,4200,-100,3900,-400,9050,-350,13,0,5,5,5,5
4963,"Murray, Dejounte",Dejounte Murray,20170110,sas,mil,H,20170110-mil-sas,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3500,0,3000,0,5000,0,10,0,2,1,1,1
4845,"Felicio, Cristiano",Cristiano Felicio,20170110,chi,was,A,20170110-chi-was,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3500,0,3000,0,5200,-100,10,0,5,5,5,5
4224,"Harden, James",James Harden,20170110,hou,cha,H,20170110-cha-hou,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,11700,200,12100,400,23750,550,61,0,2,12,12,2
4937,"Freeman, Trey",Trey Freeman,20170110,det,sac,A,20170110-det-sac,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4893,"Marjanovic, Boban",Boban Marjanovic,20170110,det,sac,A,20170110-det-sac,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3900,0,3300,300,5000,0,10,0,5,5,5,5
