gid,name,espn_id,espn_name,team,gp,gs,min,fg,fga,3p,3pa,ft,fta,orb,drb,rb,ast,stl,blk,to,pf,dq,+/-,dd,td,fanduel pts,draftkings pts,draftday pts,yahoo pts,fanduel position,fanduel salary,draftkings position,draftkings salary,draftday position,draftday salary,yahoo position,yahoo salary,team pts,oppt pts,total pts
4943,"Abrines, Alex",0,"Abrines, Alex",okc,1,0,16.15,2,3,2,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,7,7.75,7,2,3500,23,3000,2,5000,2,10,75,71,146
4574,"Adams, Steven",2991235,"Adams, Steven",okc,1,1,30.46666667,5,10,0,0,0,1,4,3,7,1,0,1,0,2,0,8,0,0,21.9,22.25,20.75,21.9,5,6000,5,5700,5,10550,5,21,75,71,146
4260,"Aldrich, Cole",4267,"Aldrich, Cole",min,1,0,4.1,1,1,0,0,0,0,1,1,2,1,0,0,0,2,0,1,0,0,5.9,6,6,5.9,5,3500,5,3400,5,6700,5,10,95,77,172
3619,"Allen, Tony",2367,"Allen, Tony",mem,1,1,15.95,1,4,0,0,0,0,1,0,1,1,0,0,0,3,0,4,0,0,4.7,4.75,4,4.7,2,4700,2,4900,23,8950,2,14,71,75,146
4261,"Aminu, Al-Farouq",4248,"Aminu, Al-Farouq",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4600,4,5100,34,9150,4,13,0,0,0
3397,"Andersen, Chris",1135,"Andersen, Chris",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3500,5,3000,45,5000,4,10,0,0,0
3853,"Anderson, Alan",6569,"Anderson, Alan",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,2,3000,23,5000,2,10,0,0,0
4085,"Anderson, Ryan",3412,"Anderson, Ryan",hou,1,1,39.16666667,2,11,2,10,1,1,1,2,3,2,1,0,0,4,0,-9,0,0,15.6,16.75,15.5,16.6,4,5200,4,5000,45,11150,4,19,77,95,172
3510,"Anthony, Carmelo",1975,"Anthony, Carmelo",nyk,1,1,36.71666667,11,25,2,6,4,4,1,1,2,1,0,3,1,1,0,-13,0,0,36.9,38.5,36,37.9,3,8000,3,7600,34,16650,3,37,97,98,195
3621,"Ariza, Trevor",2426,"Ariza, Trevor",hou,1,1,40.85,5,10,2,5,0,1,2,1,3,0,0,0,1,2,0,-11,0,0,14.6,16.25,15.75,15.6,3,5800,3,5700,23,11650,3,24,77,95,172
4078,"Augustin, D.J.",3415,"Augustin, D.J.",orl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3700,1,3600,1,7050,1,10,0,0,0
5006,"Baker, Ron",0,"Baker, Ron",nyk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3600,1,3200,2,5000,1,10,97,98,195
4909,"Baldwin, Wade",0,"Baldwin, Wade",mem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,71,75,146
3733,"Bass, Brandon",2745,"Bass, Brandon",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,4,3000,45,5000,4,10,0,0,0
4076,"Bayless, Jerryd",3417,"Bayless, Jerryd",phi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3000,12,8650,2,18,98,97,195
4494,"Beal, Bradley",6580,"Beal, Bradley",was,1,1,30.08333333,10,20,6,9,2,3,0,0,0,4,1,1,2,4,0,3,0,0,36,40,40.25,39,2,6900,2,6400,2,12750,2,28,91,98,189
4234,"Beverley, Patrick",3964,"Beverley, Patrick",hou,1,1,34.31666667,0,4,0,1,0,0,0,3,3,4,2,1,3,3,0,-6,0,0,12.6,14.25,13.25,12.6,1,6000,1,5600,12,10900,1,19,77,95,172
4458,"Biyombo, Bismack",6427,"Biyombo, Bismack",orl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4200,5,3800,45,9100,5,11,0,0,0
4875,"Bjelica, Nemanja",0,"Bjelica, Nemanja",min,1,0,27.66666667,2,7,0,4,2,2,2,4,6,0,1,0,3,3,0,2,0,0,12.2,14,12.75,12.2,4,3500,34,3000,4,5550,4,10,95,77,172
4269,"Bradley, Avery",4240,"Bradley, Avery",bos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6700,2,5800,12,13150,2,26,98,91,189
3975,"Brewer, Corey",3191,"Brewer, Corey",hou,1,0,30.11666667,3,7,0,1,0,0,0,1,1,1,1,1,3,3,0,-17,0,0,9.7,11.25,10.25,9.7,3,3500,23,3000,23,5000,2,10,77,95,172
