Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17633-15755,PF,Anthony,,Davis,52.24864733,37,11800,NO@BKN,NO,BKN,GTD,Hip
17633-9646,SF,Kevin,,Durant,46.61025766,39,10300,DET@GS,GS,DET,,
17633-14528,SF,Jimmy,,Butler,41.83420924,38,9400,CHI@NY,CHI,NY,O,Illness
17633-9524,PG,Stephen,,Curry,39.58974359,39,9000,DET@GS,GS,DET,,
17633-14513,SF,Kawhi,,Leonard,39.04166667,36,8700,LAL@SA,SA,LAL,,
17633-12355,PG,Eric,,Bledsoe,35.86579012,38,8200,DAL@PHO,PHO,DAL,,
17633-15557,C,Andre,,Drummond,36.04871857,39,8200,DET@GS,DET,GS,,
17633-9508,SF,Carmelo,,Anthony,34.8447362,38,8000,CHI@NY,NY,CHI,,
17633-63122,PF,Kristaps,,Porzingis,34.17500136,36,7900,CHI@NY,NY,CHI,,
17633-15860,PF,Draymond,,Green,36.68107976,37,7800,DET@GS,GS,DET,,
17633-9688,PF,LaMarcus,,Aldridge,31.55588307,34,7600,LAL@SA,SA,LAL,,
17633-9621,C,Brook,,Lopez,32.12352798,34,7000,NO@BKN,BKN,NO,,
17633-14523,PG,Reggie,,Jackson,27.3105276,19,7000,DET@GS,DET,GS,,
17633-15946,SF,Harrison,,Barnes,30.33947433,38,6900,DAL@PHO,DAL,PHO,,
17633-9585,SG,Dwyane,,Wade,31.30857282,35,6900,CHI@NY,CHI,NY,,
17633-9663,PG,Jrue,,Holiday,30.04166667,24,6800,NO@BKN,NO,BKN,,
17633-42669,PF,Julius,,Randle,29.86216282,37,6600,LAL@SA,LAL,SA,,
17633-9570,C,Pau,,Gasol,27.59722222,36,6400,LAL@SA,SA,LAL,,
17633-14509,SG,Klay,,Thompson,29.37894801,38,6400,DET@GS,GS,DET,,
17633-58312,PG,D'Angelo,,Russell,27.69655215,29,6400,LAL@SA,LAL,SA,GTD,Hand
17633-12443,PG,Jeremy,,Lin,27.73333232,12,6300,NO@BKN,BKN,NO,O,Hamstring
17633-9475,PG,Derrick,,Rose,28.57941212,34,6100,CHI@NY,NY,CHI,,
17633-58460,SG,Devin,,Booker,27.25405471,37,6100,DAL@PHO,PHO,DAL,,
17633-14518,PF,Tobias,,Harris,26.64750061,40,6000,DET@GS,DET,GS,,
17633-15636,SG,Kentavious,,Caldwell-Pope,25.31282083,39,5900,DET@GS,DET,GS,,
17633-9722,PG,Deron,,Williams,25.46666667,30,5900,DAL@PHO,DAL,PHO,,
17633-9593,PG,Brandon,,Jennings,19.15640963,39,5600,CHI@NY,NY,CHI,,
17633-9500,PF,Dirk,,Nowitzki,22.34615385,13,5500,DAL@PHO,DAL,PHO,,
17633-12350,PF,Trevor,,Booker,26.33529484,34,5400,NO@BKN,BKN,NO,GTD,Hip
17633-9799,SG,Wesley,,Matthews,23.56216183,37,5300,DAL@PHO,DAL,PHO,,
17633-9473,C,Tyson,,Chandler,23.11333415,30,5200,DAL@PHO,PHO,DAL,,
17633-9481,PF,Taj,,Gibson,23.72051219,39,5000,CHI@NY,CHI,NY,,
17633-9495,PG,J.J.,,Barea,24.24615479,13,4900,DAL@PHO,DAL,PHO,,
17633-9692,SG,Tyreke,,Evans,16.13636364,11,4900,NO@BKN,NO,BKN,,
17633-9483,C,Joakim,,Noah,21.30857108,35,4800,CHI@NY,NY,CHI,,
17633-16201,PG,Michael,,Carter-Williams,17.27500025,12,4800,CHI@NY,CHI,NY,,
17633-9702,PG,Tony,,Parker,20.32758621,29,4800,LAL@SA,SA,LAL,,
17633-23120,SF,T.J.,,Warren,23.03199951,25,4700,DAL@PHO,PHO,DAL,,
17633-14512,SF,Marcus,,Morris,21.97435897,39,4600,DET@GS,DET,GS,,
17633-9662,SG,Lou,,Williams,25.38571312,42,4600,LAL@SA,LAL,SA,,
